slice_id,budget,Q,gamma,best_len,lam_1,lam_Q,eta_CIM,eta_CPM,Sigma_CPM,min_W
0,B3,1,0.02,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.0228,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.0256,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.0284,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.0312,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.034,9.21637083954163e+147,8.608319374164563e+147,8.608319374164563e+147,0.9340248481790357,0.9340248481790357,4.073434222702285e+149,4.165597931097701e+149
0,B3,1,0.0368,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.0396,9.21637083954163e+147,8.608319374164563e+147,8.608319374164563e+147,0.9340248481790357,0.9340248481790357,4.073434222702285e+149,4.165597931097701e+149
0,B3,1,0.0424,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.0452,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.048,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.0508,9.21637083954163e+147,8.608319374164563e+147,8.608319374164563e+147,0.9340248481790357,0.9340248481790357,4.073434222702285e+149,4.165597931097701e+149
0,B3,1,0.0536,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.0564,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.0592,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.062,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.0648,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.0676,9.21637083954163e+147,8.608319374164563e+147,8.608319374164563e+147,0.9340248481790357,0.9340248481790357,4.073434222702285e+149,4.165597931097701e+149
0,B3,1,0.0704,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.0732,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.076,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.0788,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.0816,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B3,1,0.0844,9.21637083954163e+147,8.608319374164563e+147,8.608319374164563e+147,0.9340248481790357,0.9340248481790357,4.073434222702285e+149,4.165597931097701e+149
