slice_id,budget,Q,gamma,best_len,lam_1,lam_Q,eta_CIM,eta_CPM,Sigma_CPM,min_W
0,B2,1,0.02,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B2,1,0.0228,9.21637083954163e+147,8.608319374164563e+147,8.608319374164563e+147,0.9340248481790357,0.9340248481790357,4.073434222702285e+149,4.165597931097701e+149
0,B2,1,0.0256,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B2,1,0.0284,7.059349368244415e+148,8.608319374164563e+147,8.608319374164563e+147,0.12194210719883042,0.12194210719883042,3.4596629942732596e+149,4.165597931097701e+149
0,B2,1,0.0312,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B2,1,0.034,9.21637083954163e+147,8.608319374164563e+147,8.608319374164563e+147,0.9340248481790357,0.9340248481790357,4.073434222702285e+149,4.165597931097701e+149
0,B2,1,0.0368,9.21637083954163e+147,8.608319374164563e+147,8.608319374164563e+147,0.9340248481790357,0.9340248481790357,4.073434222702285e+149,4.165597931097701e+149
0,B2,1,0.0396,7.44201035943667e+148,8.608319374164563e+147,8.608319374164563e+147,0.11567196171998043,0.11567196171998043,3.421396895154034e+149,4.165597931097701e+149
0,B2,1,0.0424,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B2,1,0.0452,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B2,1,0.048,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
0,B2,1,0.0508,9.21637083954163e+147,8.608319374164563e+147,8.608319374164563e+147,0.9340248481790357,0.9340248481790357,4.073434222702285e+149,4.165597931097701e+149
0,B2,1,0.0536,8.608319374164563e+147,8.608319374164563e+147,8.608319374164563e+147,1.0,1.0,4.0795147373560554e+149,4.165597931097701e+149
