X,cac_dt,mu,r,noise,mean_norm,eff,p_opt
4,0.01,0.1,0.05,0.0,2.820159494291389e+148,5.614089527052355,0.53
4,0.01,0.1,0.05,0.05,5.023360387649707e+147,0.9999999999999996,1.0
4,0.01,0.1,0.05,0.1,5.121200781946546e+147,1.0194770804295437,0.99
4,0.01,0.1,0.05,0.15,5.023360387649707e+147,0.9999999999999996,1.0
4,0.01,0.1,0.2,0.0,1.777890585095564e+148,3.5392455406278143,0.9
4,0.01,0.1,0.2,0.05,7.214781330606515e+148,14.362460133946534,0.41
4,0.01,0.1,0.2,0.1,2.185498707949986e+148,4.3506707448726765,0.81
4,0.01,0.1,0.2,0.15,9.854628677141777e+147,1.9617602394942808,0.93
4,0.01,0.1,0.4,0.0,8.21968945355965e+148,16.362930029404907,0.37
4,0.01,0.1,0.4,0.05,7.283063451377062e+148,14.498389303867176,0.45
4,0.01,0.1,0.4,0.1,5.023360387649707e+147,0.9999999999999996,1.0
4,0.01,0.1,0.4,0.15,6.072228535652602e+148,12.087981086488657,0.51
4,0.01,0.1,0.6,0.0,6.236818632673511e+148,12.415630477174554,0.51
4,0.01,0.1,0.6,0.05,6.888362726611106e+148,13.712658847942981,0.48
4,0.01,0.1,0.6,0.1,6.915812677537584e+148,13.767303445997234,0.46
4,0.01,0.1,0.6,0.15,6.973749706863723e+148,13.882638649636178,0.46
4,0.01,0.3,0.05,0.0,4.8743575441249824e+148,9.703380143915096,0.64
4,0.01,0.3,0.05,0.05,6.288153503794574e+148,12.517822769105814,0.54
4,0.01,0.3,0.05,0.1,5.735273537514155e+148,11.417205008055436,0.54
4,0.01,0.3,0.05,0.15,6.269783782989081e+148,12.481254178783972,0.46
4,0.01,0.3,0.2,0.0,7.22292588401924e+148,14.378673490712153,0.43
4,0.01,0.3,0.2,0.05,5.115723227860379e+148,10.183866641218398,0.63
4,0.01,0.3,0.2,0.1,6.963774364735411e+148,13.862780743058668,0.47
4,0.01,0.3,0.2,0.15,6.575137579402138e+148,13.089121767109491,0.48
4,0.01,0.3,0.4,0.0,6.945774393246014e+148,13.826948212441012,0.44
4,0.01,0.3,0.4,0.05,7.380243706392418e+148,14.691845969358031,0.44
4,0.01,0.3,0.4,0.1,5.963326384521493e+148,11.871189650622634,0.53
4,0.01,0.3,0.4,0.15,6.228936760606399e+148,12.399940039979384,0.51
4,0.01,0.3,0.6,0.0,7.146221675951743e+148,14.225978477517241,0.46
4,0.01,0.3,0.6,0.05,2.72445624008297e+148,5.42357312603181,0.8
4,0.01,0.3,0.6,0.1,2.137501331428666e+148,4.2551224011,0.79
4,0.01,0.3,0.6,0.15,6.752548843325913e+148,13.442294245755367,0.51
4,0.01,0.5,0.05,0.0,6.783109296830012e+148,13.503130919108994,0.49
4,0.01,0.5,0.05,0.05,7.157907882743998e+148,14.24924220118116,0.44
4,0.01,0.5,0.05,0.1,5.783235224711982e+148,11.512682305116869,0.55
4,0.01,0.5,0.05,0.15,6.590985558264506e+148,13.120670327514059,0.45
4,0.01,0.5,0.2,0.0,6.361257535916715e+148,12.66335091457169,0.48
4,0.01,0.5,0.2,0.05,6.091605311813341e+148,12.126554421199778,0.49
4,0.01,0.5,0.2,0.1,2.905554455247728e+148,5.784085215926856,0.68
4,0.01,0.5,0.2,0.15,2.2117631569037495e+148,4.402955364981432,0.84
4,0.01,0.5,0.4,0.0,5.023360387649707e+147,0.9999999999999996,1.0
4,0.01,0.5,0.4,0.05,5.023360387649707e+147,0.9999999999999996,1.0
4,0.01,0.5,0.4,0.1,5.023360387649707e+147,0.9999999999999996,1.0
4,0.01,0.5,0.4,0.15,2.6391178052350076e+148,5.253689963641604,0.78
4,0.01,0.5,0.6,0.0,5.023360387649707e+147,0.9999999999999996,1.0
4,0.01,0.5,0.6,0.05,5.023360387649707e+147,0.9999999999999996,1.0
4,0.01,0.5,0.6,0.1,5.023360387649707e+147,0.9999999999999996,1.0
4,0.01,0.5,0.6,0.15,2.2901782296351946e+148,4.55905619526276,0.8
4,0.01,0.7,0.05,0.0,4.172745436847197e+148,8.30668141411114,0.72
4,0.01,0.7,0.05,0.05,5.023360387649707e+147,0.9999999999999996,1.0
4,0.01,0.7,0.05,0.1,5.023360387649707e+147,0.9999999999999996,1.0
4,0.01,0.7,0.05,0.15,5.121200781946546e+147,1.0194770804295437,0.99
4,0.01,0.7,0.2,0.0,9.304955381307735e+148,18.523368150500676,0.07
4,0.01,0.7,0.2,0.05,5.023360387649707e+147,0.9999999999999996,1.0
4,0.01,0.7,0.2,0.1,5.023360387649707e+147,0.9999999999999996,1.0
