metric,value
valid_outputs,38800
min_mc_norm,1.4310479281191203e+146
max_mc_norm,1.412804278303429e+151
best_cim_norm,1.4880234287794293e+144
mean_cim_norm,6.65615803551766e+147
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.00142
quantile_10percent,7.052908171853362e+146
quantile_25percent,1.875373973032725e+147
quantile_50percent,4.4809328660539694e+147
quantile_75percent,9.183125844388819e+147
quantile_90percent,1.535610046282055e+148
within_1.0x_min_mc,0.022628865979381442
within_1.1x_min_mc,0.02404639175257732
within_1.5x_min_mc,0.032190721649484534
within_2.0x_min_mc,0.04402061855670103
max_abs_scale_for_G,1.9048973868830492e+300
sim_time_sec,3198.040251016617
