metric,value
valid_outputs,38800
min_mc_norm,9.614026176234537e+146
max_mc_norm,2.507205540375659e+150
best_cim_norm,9.614026176788523e+146
mean_cim_norm,6.281395629106174e+149
best_percentile_uniform,0.00048
mean_percentile_uniform_of_mean,0.48358
quantile_10percent,1.6472376716461612e+148
quantile_25percent,1.492062985164618e+149
quantile_50percent,5.066302550753087e+149
quantile_75percent,9.775386785345749e+149
quantile_90percent,1.4528160337053153e+150
within_1.0x_min_mc,0.0
within_1.1x_min_mc,0.01193298969072165
within_1.5x_min_mc,0.01193298969072165
within_2.0x_min_mc,0.01193298969072165
max_abs_scale_for_G,2.5927293008434537e+299
sim_time_sec,2710.041171312332
