metric,value
valid_outputs,38800
min_mc_norm,1.5738191883144228e+146
max_mc_norm,2.215371618571021e+151
best_cim_norm,8.27984034851207e+143
mean_cim_norm,1.100185650055962e+150
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.15844
quantile_10percent,1.7215868547875876e+147
quantile_25percent,4.918176720152922e+147
quantile_50percent,1.4191674156813616e+148
quantile_75percent,6.765063623494877e+149
quantile_90percent,4.3063927575507584e+150
within_1.0x_min_mc,0.008608247422680413
within_1.1x_min_mc,0.009664948453608248
within_1.5x_min_mc,0.013530927835051547
within_2.0x_min_mc,0.018195876288659794
max_abs_scale_for_G,2.805835253016294e+300
sim_time_sec,3042.1606390476227
