metric,value
valid_outputs,38800
min_mc_norm,4.468639085844029e+146
max_mc_norm,3.3777820884856486e+151
best_cim_norm,8.58758186274812e+143
mean_cim_norm,1.597869740673954e+148
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.00164
quantile_10percent,1.7254058567147985e+147
quantile_25percent,4.564480500407588e+147
quantile_50percent,1.0812296893625792e+148
quantile_75percent,2.20587632797708e+148
quantile_90percent,3.659102479611436e+148
within_1.0x_min_mc,0.026288659793814433
within_1.1x_min_mc,0.02902061855670103
within_1.5x_min_mc,0.03907216494845361
within_2.0x_min_mc,0.05144329896907217
max_abs_scale_for_G,4.6495748448619484e+300
sim_time_sec,2946.251888990402
