metric,value
valid_outputs,38800
min_mc_norm,5.023360387649661e+147
max_mc_norm,1.7939749683824183e+149
best_cim_norm,5.023360387649709e+147
mean_cim_norm,1.8869474790426563e+148
best_percentile_uniform,0.12426
mean_percentile_uniform_of_mean,0.2499
quantile_10percent,5.023360387649709e+147
quantile_25percent,5.023360387649709e+147
quantile_50percent,5.023360387649709e+147
quantile_75percent,5.023360387649709e+147
quantile_90percent,8.21815524993932e+148
within_1.0x_min_mc,0.0
within_1.1x_min_mc,0.872680412371134
within_1.5x_min_mc,0.872680412371134
within_2.0x_min_mc,0.872680412371134
max_abs_scale_for_G,7.60158486572243e+297
sim_time_sec,1998.68385887146
