metric,value
valid_outputs,38800
min_mc_norm,9.073874317621716e+145
max_mc_norm,1.7026261336322765e+151
best_cim_norm,3.298961688838797e+144
mean_cim_norm,2.9072687032158964e+150
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.48336
quantile_10percent,1.8274783713803615e+148
quantile_25percent,6.456614321653701e+149
quantile_50percent,2.2663644203881798e+150
quantile_75percent,4.497605758601389e+150
quantile_90percent,6.771775309904415e+150
within_1.0x_min_mc,0.0007731958762886598
within_1.1x_min_mc,0.0009020618556701031
within_1.5x_min_mc,0.0012628865979381443
within_2.0x_min_mc,0.0016494845360824743
max_abs_scale_for_G,2.186642475126979e+300
sim_time_sec,1834.6559460163116
