metric,value
valid_outputs,38800
min_mc_norm,6.990046461569086e+145
max_mc_norm,2.590065922629739e+151
best_cim_norm,8.938666896462701e+144
mean_cim_norm,4.9718078406200635e+150
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.55274
quantile_10percent,5.668692683487798e+149
quantile_25percent,1.805080498625587e+150
quantile_50percent,4.156220403425225e+150
quantile_75percent,7.311515878851638e+150
quantile_90percent,1.0564027054099261e+151
within_1.0x_min_mc,0.00018041237113402062
within_1.1x_min_mc,0.00018041237113402062
within_1.5x_min_mc,0.0002577319587628866
within_2.0x_min_mc,0.0003350515463917526
max_abs_scale_for_G,3.1142103211267117e+300
sim_time_sec,2399.9687378406525
