metric,value
valid_outputs,38800
min_mc_norm,9.57532429728535e+144
max_mc_norm,1.2078623165315246e+151
best_cim_norm,2.939633470943452e+143
mean_cim_norm,1.3451514311811743e+150
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.29998
quantile_10percent,3.96471872574092e+147
quantile_25percent,1.2890525864918507e+148
quantile_50percent,1.6228655745538545e+149
quantile_75percent,2.220905238166019e+150
quantile_90percent,4.286716523381209e+150
within_1.0x_min_mc,0.0003092783505154639
within_1.1x_min_mc,0.0003350515463917526
within_1.5x_min_mc,0.00036082474226804123
within_2.0x_min_mc,0.0005927835051546392
max_abs_scale_for_G,1.578295931944816e+300
sim_time_sec,1516.3999149799347
