metric,value
valid_outputs,38800
min_mc_norm,3.3071549495301506e+145
max_mc_norm,8.502335431306906e+150
best_cim_norm,1.4846563123351061e+145
mean_cim_norm,3.083674717105346e+149
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.0977
quantile_10percent,1.3434504363564264e+147
quantile_25percent,3.910670907402985e+147
quantile_50percent,1.0443408395717641e+148
quantile_75percent,3.059399802674439e+148
quantile_90percent,1.077987547952069e+150
within_1.0x_min_mc,0.0016237113402061856
within_1.1x_min_mc,0.002293814432989691
within_1.5x_min_mc,0.002293814432989691
within_2.0x_min_mc,0.003943298969072165
max_abs_scale_for_G,1.1367114552280525e+300
sim_time_sec,2935.823809146881
