metric,value
valid_outputs,38800
min_mc_norm,4.6307640562306115e+146
max_mc_norm,8.58353543374821e+149
best_cim_norm,4.630764056175874e+146
mean_cim_norm,6.529576193044237e+146
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.00744
quantile_10percent,4.630764056175874e+146
quantile_25percent,4.630764056175874e+146
quantile_50percent,4.630764056175874e+146
quantile_75percent,4.630764056175874e+146
quantile_90percent,1.8310666399473904e+147
within_1.0x_min_mc,0.8932731958762886
within_1.1x_min_mc,0.8932731958762886
within_1.5x_min_mc,0.8932731958762886
within_2.0x_min_mc,0.8932731958762886
max_abs_scale_for_G,6.250540664291081e+298
sim_time_sec,2952.4642989635468
