metric,value
valid_outputs,38800
min_mc_norm,2.291837457150624e+146
max_mc_norm,2.952032974125166e+151
best_cim_norm,8.5885046896259e+143
mean_cim_norm,2.0649030570722444e+150
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.22184
quantile_10percent,3.822278504545509e+147
quantile_25percent,1.121176501037151e+148
quantile_50percent,3.741686678921422e+148
quantile_75percent,2.7202207956769975e+150
quantile_90percent,7.793609663923608e+150
within_1.0x_min_mc,0.006520618556701031
within_1.1x_min_mc,0.007371134020618557
within_1.5x_min_mc,0.01
within_2.0x_min_mc,0.013144329896907217
max_abs_scale_for_G,3.641394314091442e+300
sim_time_sec,2529.5610768795013
