metric,value
valid_outputs,38800
min_mc_norm,3.25444892628145e+145
max_mc_norm,1.1815495176708728e+151
best_cim_norm,2.517578863703575e+145
mean_cim_norm,2.4066739693148165e+150
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.54534
quantile_10percent,2.614762683421785e+149
quantile_25percent,8.717033375297524e+149
quantile_50percent,2.024831171911068e+150
quantile_75percent,3.5650608819451806e+150
quantile_90percent,5.1006288847629476e+150
within_1.0x_min_mc,7.731958762886597e-05
within_1.1x_min_mc,7.731958762886597e-05
within_1.5x_min_mc,7.731958762886597e-05
within_2.0x_min_mc,7.731958762886597e-05
max_abs_scale_for_G,1.3437212824161982e+300
sim_time_sec,2121.422695875168
