metric,value
valid_outputs,38800
min_mc_norm,1.647743874088135e+144
max_mc_norm,2.8383947175595357e+151
best_cim_norm,1.4768104495660495e+145
mean_cim_norm,5.335466907250174e+150
best_percentile_uniform,2e-05
mean_percentile_uniform_of_mean,0.55116
quantile_10percent,5.945554098122621e+149
quantile_25percent,1.911025092233965e+150
quantile_50percent,4.469681385888168e+150
quantile_75percent,7.895712935370637e+150
quantile_90percent,1.1285453494336376e+151
within_1.0x_min_mc,0.0
within_1.1x_min_mc,0.0
within_1.5x_min_mc,0.0
within_2.0x_min_mc,0.0
max_abs_scale_for_G,3.629297463423807e+300
sim_time_sec,2775.498416185379
