metric,value
valid_outputs,38800
min_mc_norm,1.2629522416245872e+145
max_mc_norm,1.8977928278048638e+151
best_cim_norm,3.160418552358564e+144
mean_cim_norm,2.049647665191353e+150
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.33326
quantile_10percent,5.8591774322137815e+147
quantile_25percent,2.118130028003345e+148
quantile_50percent,8.175830795957207e+149
quantile_75percent,3.382564753612054e+150
quantile_90percent,6.035451959070382e+150
within_1.0x_min_mc,0.00023195876288659793
within_1.1x_min_mc,0.0003350515463917526
within_1.5x_min_mc,0.00046391752577319587
within_2.0x_min_mc,0.0006701030927835052
max_abs_scale_for_G,2.2989188534248767e+300
sim_time_sec,1299.4340760707855
