metric,value
valid_outputs,38800
min_mc_norm,1.0531358255531732e+146
max_mc_norm,4.683647201869257e+150
best_cim_norm,1.0531358245640883e+146
mean_cim_norm,4.868238917813682e+147
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.0026
quantile_10percent,5.684710333359277e+146
quantile_25percent,1.644398963559015e+147
quantile_50percent,3.3655388389266385e+147
quantile_75percent,7.249549300849997e+147
quantile_90percent,1.1037840199660671e+148
within_1.0x_min_mc,0.024149484536082476
within_1.1x_min_mc,0.024149484536082476
within_1.5x_min_mc,0.024149484536082476
within_2.0x_min_mc,0.024149484536082476
max_abs_scale_for_G,6.750013121993961e+299
sim_time_sec,2200.958237886429
