metric,value
valid_outputs,38800
min_mc_norm,5.056363544212138e+145
max_mc_norm,1.4663752660223965e+151
best_cim_norm,8.47865033982661e+143
mean_cim_norm,1.7853492867281134e+150
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.3445
quantile_10percent,2.912417098978948e+147
quantile_25percent,1.0764068896370416e+148
quantile_50percent,6.588281573228534e+149
quantile_75percent,3.0024134346044095e+150
quantile_90percent,5.296141493676235e+150
within_1.0x_min_mc,0.001520618556701031
within_1.1x_min_mc,0.0017010309278350515
within_1.5x_min_mc,0.0023711340206185568
within_2.0x_min_mc,0.0032989690721649486
max_abs_scale_for_G,1.930701310570229e+300
sim_time_sec,2504.0964069366455
