metric,value
valid_outputs,38800
min_mc_norm,5.005515725902871e+147
max_mc_norm,9.221042861294577e+148
best_cim_norm,5.005515725902873e+147
mean_cim_norm,2.210819363312516e+148
best_percentile_uniform,0.24772
mean_percentile_uniform_of_mean,0.50054
quantile_10percent,5.005515725902873e+147
quantile_25percent,5.005515725902873e+147
quantile_50percent,5.005515725902873e+147
quantile_75percent,5.005515725902873e+147
quantile_90percent,9.221042861294577e+148
within_1.0x_min_mc,0.0
within_1.1x_min_mc,0.7531443298969073
within_1.5x_min_mc,0.7531443298969073
within_2.0x_min_mc,0.7531443298969073
max_abs_scale_for_G,1.9011742079091853e+297
sim_time_sec,2587.7439601421356
