metric,value
valid_outputs,38800
min_mc_norm,1.068110407212636e+148
max_mc_norm,4.0045888761760674e+149
best_cim_norm,1.0681104072126178e+148
mean_cim_norm,8.944868869100847e+148
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.31344
quantile_10percent,1.0681104072126178e+148
quantile_25percent,1.0681104072126178e+148
quantile_50percent,3.051186427710941e+148
quantile_75percent,1.3887983827997168e+149
quantile_90percent,2.358687905966984e+149
within_1.0x_min_mc,0.41
within_1.1x_min_mc,0.41
within_1.5x_min_mc,0.41
within_2.0x_min_mc,0.46262886597938147
max_abs_scale_for_G,1.5196712640302124e+298
sim_time_sec,3057.554771900177
