metric,value
valid_outputs,38800
min_mc_norm,3.1532126833573604e+147
max_mc_norm,1.56966913774935e+150
best_cim_norm,3.1532126833539466e+147
mean_cim_norm,4.133867275531897e+149
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.4564
quantile_10percent,2.2983972888337181e+148
quantile_25percent,7.193782840494648e+148
quantile_50percent,3.0557879963509357e+149
quantile_75percent,6.562224564171423e+149
quantile_90percent,9.694805951129848e+149
within_1.0x_min_mc,0.014329896907216495
within_1.1x_min_mc,0.014329896907216495
within_1.5x_min_mc,0.014329896907216495
within_2.0x_min_mc,0.014329896907216495
max_abs_scale_for_G,1.735220612356545e+299
sim_time_sec,1339.7034151554108
