metric,value
valid_outputs,38800
min_mc_norm,3.9943593435108627e+146
max_mc_norm,4.3730468642384573e+151
best_cim_norm,9.001084862214546e+144
mean_cim_norm,7.777937330822253e+150
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.53264
quantile_10percent,4.423333421434925e+149
quantile_25percent,2.492694072916127e+150
quantile_50percent,6.415241623554021e+150
quantile_75percent,1.171820548844577e+151
quantile_90percent,1.6995277734267354e+151
within_1.0x_min_mc,0.0012371134020618556
within_1.1x_min_mc,0.0013402061855670104
within_1.5x_min_mc,0.0018556701030927835
within_2.0x_min_mc,0.002422680412371134
max_abs_scale_for_G,7.749665795311832e+300
sim_time_sec,2564.177938938141
