metric,value
valid_outputs,38800
min_mc_norm,1.3698439650884787e+144
max_mc_norm,3.881893327237758e+150
best_cim_norm,1.3698753036497312e+144
mean_cim_norm,2.5510980281347887e+149
best_percentile_uniform,0.00012
mean_percentile_uniform_of_mean,0.14464
quantile_10percent,9.513927523801627e+146
quantile_25percent,2.949602318258007e+147
quantile_50percent,9.441296435308609e+147
quantile_75percent,1.4994606910952123e+149
quantile_90percent,9.935150375667738e+149
within_1.0x_min_mc,0.0
within_1.1x_min_mc,0.014664948453608247
within_1.5x_min_mc,0.014664948453608247
within_2.0x_min_mc,0.014664948453608247
max_abs_scale_for_G,5.6599504099924435e+299
sim_time_sec,2210.235983848572
