number,value,datetime_start,datetime_complete,duration,params_dt,params_mu,params_noise,params_r,params_steps,state
0,0.00028194684930259173,2025-08-17 19:20:55.610870,2025-08-17 19:21:01.092777,0 days 00:00:05.481907,0.060650275242528716,0.7141717049901577,0.00016237311620991533,0.12671962245590854,500,COMPLETE
1,0.0006731911548377868,2025-08-17 19:21:01.093298,2025-08-17 19:21:03.337265,0 days 00:00:02.243967,0.04194345700885933,0.16590312338795699,0.15836866939468505,0.5051054278600403,400,COMPLETE
2,0.0007847970766300267,2025-08-17 19:21:03.337449,2025-08-17 19:21:05.575000,0 days 00:00:02.237551,0.03938489287592529,0.5689919763859224,0.017548105892938134,0.4987873006500254,400,COMPLETE
3,0.0009101627582291222,2025-08-17 19:21:05.575249,2025-08-17 19:21:09.512646,0 days 00:00:03.937397,0.04944293869634492,0.4327918789371601,0.002127103022213215,0.13620392035014864,700,COMPLETE
4,0.00014700660015614785,2025-08-17 19:21:09.512877,2025-08-17 19:21:12.290095,0 days 00:00:02.777218,0.06991357191198753,0.19529622509491207,0.2447423011640726,0.5828801931105357,500,COMPLETE
5,0.0004839542469395389,2025-08-17 19:21:12.290287,2025-08-17 19:21:17.791809,0 days 00:00:05.501522,0.0636703962249856,0.558625950648122,0.0186699723469309,0.4240362997343736,1000,COMPLETE
6,0.001226799985078492,2025-08-17 19:21:17.792041,2025-08-17 19:21:23.290604,0 days 00:00:05.498563,0.05088305480288778,0.47935804769793583,0.07683644365127029,0.4713129341898487,1000,COMPLETE
7,0.0005348938460643821,2025-08-17 19:21:23.290838,2025-08-17 19:21:28.806293,0 days 00:00:05.515455,0.03045014627435806,0.32035868318760297,0.0003010251670113037,0.16837668789030297,1000,COMPLETE
8,0.0007060361807632871,2025-08-17 19:21:28.806500,2025-08-17 19:21:32.716273,0 days 00:00:03.909773,0.022201257874379512,0.14520644653620918,0.009170899084774283,0.4464894059368537,700,COMPLETE
9,0.000719381478567223,2025-08-17 19:21:32.716500,2025-08-17 19:21:37.680879,0 days 00:00:04.964379,0.037203715297592026,0.7489267161237013,0.005294937440807143,0.5222014240790545,900,COMPLETE
10,0.0005836904970262648,2025-08-17 19:21:37.681103,2025-08-17 19:21:42.650913,0 days 00:00:04.969810,0.04361670369723454,0.590552552237713,0.0053602014593970805,0.14890770742438889,900,COMPLETE
11,0.0005006070389814318,2025-08-17 19:21:42.651144,2025-08-17 19:21:46.578103,0 days 00:00:03.926959,0.01640350139220196,0.18253337792420854,0.011970914474123816,0.5097144543383391,700,COMPLETE
12,0.00035613065722632693,2025-08-17 19:21:46.578318,2025-08-17 19:21:51.535455,0 days 00:00:04.957137,0.03237569830532209,0.5747978476630551,0.002654559318204564,0.4688670850255765,900,COMPLETE
13,0.0008801460652899957,2025-08-17 19:21:51.535698,2025-08-17 19:21:55.457826,0 days 00:00:03.922128,0.02502279770693303,0.49045073692008656,0.09319804093098007,0.4980189556611883,700,COMPLETE
14,0.00025399660360763917,2025-08-17 19:21:55.458055,2025-08-17 19:21:58.230320,0 days 00:00:02.772265,0.0591227644868196,0.6185271886681456,0.003779248745243656,0.1448451492474882,500,COMPLETE
15,0.0006052907098902715,2025-08-17 19:21:58.230517,2025-08-17 19:22:00.523441,0 days 00:00:02.292924,0.05255107445089981,0.28915518881293545,0.0010304985000138549,0.3797101217787911,400,COMPLETE
16,0.0001707250987077807,2025-08-17 19:22:00.523940,2025-08-17 19:22:04.082374,0 days 00:00:03.558434,0.05965946259698056,0.7385843895082749,0.001692840733822217,0.2698735904395158,600,COMPLETE
17,0.0003431529197921415,2025-08-17 19:22:04.082548,2025-08-17 19:22:09.051343,0 days 00:00:04.968795,0.018003980618085072,0.08379439600512122,0.06959339930290633,0.16272499685485267,900,COMPLETE
18,0.00020732498808592156,2025-08-17 19:22:09.051580,2025-08-17 19:22:13.497042,0 days 00:00:04.445462,0.05800534218573261,0.5246056106884293,0.00038763864651993556,0.5079027330755224,800,COMPLETE
19,0.0006306877342929324,2025-08-17 19:22:13.497278,2025-08-17 19:22:16.286598,0 days 00:00:02.789320,0.013110360559561446,0.5542439380710463,0.010417101161195973,0.4633174870147018,500,COMPLETE
20,0.0010872116254413674,2025-08-17 19:22:16.286770,2025-08-17 19:22:19.040096,0 days 00:00:02.753326,0.030648243549000732,0.5619568917185501,0.00975695855853424,0.45462128354741543,500,COMPLETE
21,0.0008943245676838253,2025-08-17 19:22:19.040317,2025-08-17 19:22:24.535511,0 days 00:00:05.495194,0.05288719634148454,0.144180426388689,0.009683171929509647,0.5405833938284625,1000,COMPLETE
22,0.0007087598500534285,2025-08-17 19:22:24.535753,2025-08-17 19:22:26.803674,0 days 00:00:02.267921,0.04759207091478222,0.07654287157742636,0.0031066309869630607,0.48107453862018074,400,COMPLETE
23,0.0006908864438306958,2025-08-17 19:22:26.803881,2025-08-17 19:22:29.565316,0 days 00:00:02.761435,0.0327987918326918,0.4538539133717489,0.012757561373204069,0.2969184423093795,500,COMPLETE
24,0.00022406019439087925,2025-08-17 19:22:29.565816,2025-08-17 19:22:34.026074,0 days 00:00:04.460258,0.0622666369326404,0.7723413594255809,0.00044355661084186234,0.12390208070328282,800,COMPLETE
25,0.00036744712438272994,2025-08-17 19:22:34.026298,2025-08-17 19:22:38.989659,0 days 00:00:04.963361,0.03700064265262633,0.7181254817419993,0.0005616570708045122,0.5154915465802092,900,COMPLETE
26,0.00028783437600262237,2025-08-17 19:22:38.989888,2025-08-17 19:22:42.356196,0 days 00:00:03.366308,0.06586752579766095,0.5486805257134655,0.018072806794777786,0.5665311984884874,600,COMPLETE
27,0.0004356940729206455,2025-08-17 19:22:42.356370,2025-08-17 19:22:46.272189,0 days 00:00:03.915819,0.02890753288298214,0.31563573472907047,0.0009765274824166933,0.08316709385585541,700,COMPLETE
28,0.00012084304370233958,2025-08-17 19:22:46.272677,2025-08-17 19:22:51.253349,0 days 00:00:04.980672,0.06669897888402798,0.7552186094944203,0.1246613378384584,0.4280647662795235,900,COMPLETE
29,0.00032849945496423003,2025-08-17 19:22:51.253573,2025-08-17 19:22:54.019583,0 days 00:00:02.766010,0.035657290090943296,0.1860083254741297,0.0016816403100040538,0.40871443097730636,500,COMPLETE
30,0.001000834312710336,2025-08-17 19:22:54.019781,2025-08-17 19:22:57.931871,0 days 00:00:03.912090,0.05326755606305823,0.29715565321680193,0.001087888192437362,0.13239910629168097,700,COMPLETE
31,0.00047212863610686926,2025-08-17 19:22:57.932113,2025-08-17 19:23:02.378687,0 days 00:00:04.446574,0.053044181457671986,0.2510410670135203,0.0006659819710717357,0.18128686777330505,800,COMPLETE
32,0.0010568321330421758,2025-08-17 19:23:02.378930,2025-08-17 19:23:07.891547,0 days 00:00:05.512617,0.04094812597028207,0.49094800259967547,0.09102302372550605,0.3934579683287257,1000,COMPLETE
33,0.0013183639471320147,2025-08-17 19:23:07.891794,2025-08-17 19:23:12.882934,0 days 00:00:04.991140,0.04260786844061774,0.4078859613056067,0.08341273962410019,0.2998233938314119,900,COMPLETE
34,0.0006041107549401599,2025-08-17 19:23:12.883152,2025-08-17 19:23:18.376810,0 days 00:00:05.493658,0.03323159996607555,0.4071997928341539,0.12379779787435992,0.32374148606368414,1000,COMPLETE
35,0.0007477895203829129,2025-08-17 19:23:18.377038,2025-08-17 19:23:23.355769,0 days 00:00:04.978731,0.05524241917754982,0.456909238647781,0.18277499229722274,0.5628318040639878,900,COMPLETE
36,0.0005669254979529473,2025-08-17 19:23:23.355999,2025-08-17 19:23:28.343995,0 days 00:00:04.987996,0.04180176704155992,0.2511715673229365,0.02953393446531679,0.23786809818062893,900,COMPLETE
37,0.00042320008583750696,2025-08-17 19:23:28.344210,2025-08-17 19:23:33.342119,0 days 00:00:04.997909,0.04224944283883139,0.583749393057717,0.08140224310681735,0.46211334204655463,900,COMPLETE
38,0.0010542361347421804,2025-08-17 19:23:33.342331,2025-08-17 19:23:37.788058,0 days 00:00:04.445727,0.060816055335670256,0.38329349757788467,0.1626544671372565,0.31478688180370173,800,COMPLETE
39,0.0006673273550935197,2025-08-17 19:23:37.788294,2025-08-17 19:23:43.291456,0 days 00:00:05.503162,0.04392335075260799,0.4032172291914407,0.010474726418905761,0.4571821917617518,1000,COMPLETE
40,0.0008875655412684347,2025-08-17 19:23:43.291687,2025-08-17 19:23:46.062509,0 days 00:00:02.770822,0.03881852900388033,0.5711108960715917,0.0013630776582338254,0.468109751700376,500,COMPLETE
41,0.0002093623259826296,2025-08-17 19:23:46.062723,2025-08-17 19:23:50.501642,0 days 00:00:04.438919,0.06521224965704593,0.30700371424603246,0.2511965266879119,0.27088317279338914,800,COMPLETE
42,0.0028001906924853778,2025-08-17 19:23:50.501878,2025-08-17 19:23:55.478877,0 days 00:00:04.976999,0.05282921709353093,0.5093685286376076,0.227401668326126,0.3434499450140904,900,COMPLETE
43,0.0008695822512442985,2025-08-17 19:23:55.479103,2025-08-17 19:24:00.447472,0 days 00:00:04.968369,0.05533401168768591,0.6829118295206464,0.06007965606660144,0.18537033821653226,900,COMPLETE
44,0.0021047392956598313,2025-08-17 19:24:00.447706,2025-08-17 19:24:05.961032,0 days 00:00:05.513326,0.04918536419504107,0.3979655490199132,0.0993673067440707,0.4073287277767851,1000,COMPLETE
45,0.0005959764897926174,2025-08-17 19:24:05.961251,2025-08-17 19:24:10.942887,0 days 00:00:04.981636,0.04241811814351272,0.10105054965388471,0.23702949066606882,0.35325592431400027,900,COMPLETE
46,0.0012974406672469076,2025-08-17 19:24:10.943122,2025-08-17 19:24:15.389094,0 days 00:00:04.445972,0.04359435129182571,0.5398705876163785,0.055546803655331115,0.29931120621533003,800,COMPLETE
47,0.000576981043373451,2025-08-17 19:24:15.389330,2025-08-17 19:24:19.316871,0 days 00:00:03.927541,0.031270985118677166,0.6356138199420768,0.033771960342352,0.2416634973458666,700,COMPLETE
48,0.00028381792784355753,2025-08-17 19:24:19.317113,2025-08-17 19:24:24.292630,0 days 00:00:04.975517,0.06130660269136559,0.5836132274234778,0.2968155775293959,0.3215068719753585,900,COMPLETE
49,0.0006838942110008762,2025-08-17 19:24:24.292840,2025-08-17 19:24:29.819613,0 days 00:00:05.526773,0.060331390742183154,0.2616711806016492,0.1571544633418249,0.4249705584989413,1000,COMPLETE
50,0.0010342774654490147,2025-08-17 19:24:29.819855,2025-08-17 19:24:51.579194,0 days 00:00:21.759339,0.0541880543852745,0.5334058096481437,0.015435595814973118,0.3469534985762115,800,COMPLETE
51,0.0006667729662765796,2025-08-17 19:24:51.579411,2025-08-17 19:25:02.414053,0 days 00:00:10.834642,0.029368905671150802,0.7144658414247405,0.02418897621049886,0.5839330810296415,400,COMPLETE
52,0.0006803366759064849,2025-08-17 19:25:02.414266,2025-08-17 19:25:21.578035,0 days 00:00:19.163769,0.038801256347547816,0.45805636583262804,0.0615060746156543,0.30542355269915294,700,COMPLETE
53,0.0005070824335981966,2025-08-17 19:25:21.578218,2025-08-17 19:25:32.494988,0 days 00:00:10.916770,0.03253032765507099,0.3843186009338255,0.008340607692543682,0.5417796634724601,400,COMPLETE
54,0.0008656940560435542,2025-08-17 19:25:32.495170,2025-08-17 19:25:51.590916,0 days 00:00:19.095746,0.046510612948837245,0.6575453269402103,0.22899331924682823,0.26861179872338714,700,COMPLETE
55,0.001304280262149621,2025-08-17 19:25:51.591096,2025-08-17 19:26:18.442471,0 days 00:00:26.851375,0.05529958432038378,0.40559512360676014,0.19459508753126412,0.2921789720775771,1000,COMPLETE
56,0.0008046654360242407,2025-08-17 19:26:18.442689,2025-08-17 19:26:45.310756,0 days 00:00:26.868067,0.05523333699953587,0.476930355044791,0.2144557349863324,0.25155125279387985,1000,COMPLETE
57,0.00022086172914087383,2025-08-17 19:26:45.310974,2025-08-17 19:27:12.189439,0 days 00:00:26.878465,0.06588811726234191,0.43128380259946675,0.02239785366891224,0.3369014737612342,1000,COMPLETE
58,0.0011984397705387328,2025-08-17 19:27:12.189647,2025-08-17 19:27:39.122026,0 days 00:00:26.932379,0.049098954377840814,0.3218784956710436,0.05582971079100735,0.3101830997683648,1000,COMPLETE
59,0.0005133309317185343,2025-08-17 19:27:39.122225,2025-08-17 19:28:05.974290,0 days 00:00:26.852065,0.05911970811210384,0.47297684640845494,0.13982762016828068,0.4640531761178166,1000,COMPLETE
