number,value,datetime_start,datetime_complete,duration,params_dt,params_mu,params_noise,params_r,params_steps,state
0,0.23465085151328924,2025-08-17 16:03:26.523494,2025-08-17 16:03:33.684165,0 days 00:00:07.160671,0.01925139613750766,0.6684540590432279,0.21172646906055495,0.3214894666611465,800,COMPLETE
1,0.15188552323078047,2025-08-17 16:03:33.684582,2025-08-17 16:03:36.443239,0 days 00:00:02.758657,0.02297864750346686,0.264088120898831,0.005034310789618851,0.4393808271414111,500,COMPLETE
2,0.12488595991975782,2025-08-17 16:03:36.443460,2025-08-17 16:03:38.651727,0 days 00:00:02.208267,0.06698487694174082,0.7275610625678947,0.0012973040410517672,0.2803230090814637,400,COMPLETE
3,0.15254740763508054,2025-08-17 16:03:38.651972,2025-08-17 16:03:42.582707,0 days 00:00:03.930735,0.017203779536758883,0.3984114109687252,0.0014465937692031872,0.36149994901352656,700,COMPLETE
4,0.2088743895971061,2025-08-17 16:03:42.582960,2025-08-17 16:03:48.079879,0 days 00:00:05.496919,0.030134766812684958,0.36815304745304567,0.03166228226135291,0.10546976938704829,1000,COMPLETE
5,0.21111546726622524,2025-08-17 16:03:48.080098,2025-08-17 16:03:51.995911,0 days 00:00:03.915813,0.05739521926486421,0.2861787392193876,0.00013907626704236795,0.2755156583117258,700,COMPLETE
6,0.20787317582362144,2025-08-17 16:03:51.996136,2025-08-17 16:03:54.209792,0 days 00:00:02.213656,0.06586837626987602,0.6460421179191513,0.02438049474790603,0.3403108008320537,400,COMPLETE
7,0.11363674410624322,2025-08-17 16:03:54.210008,2025-08-17 16:03:58.109575,0 days 00:00:03.899567,0.013398765895644238,0.19454782966012668,0.0010556466594379566,0.5898337965392351,700,COMPLETE
8,0.24067352955576707,2025-08-17 16:03:58.109811,2025-08-17 16:04:01.996243,0 days 00:00:03.886432,0.042366786098887006,0.24032101268583095,0.0865103430866092,0.15480516074884032,700,COMPLETE
9,0.18350471509408123,2025-08-17 16:04:01.996470,2025-08-17 16:04:05.904043,0 days 00:00:03.907573,0.06926177047690134,0.49332288876618896,0.002672009609703772,0.1947974562321685,700,COMPLETE
10,0.11707531447070163,2025-08-17 16:04:05.904282,2025-08-17 16:04:08.711484,0 days 00:00:02.807202,0.04549998276488656,0.2012147442438048,0.0004228977741692941,0.0924221851766489,500,COMPLETE
11,0.31736158813847576,2025-08-17 16:04:08.711685,2025-08-17 16:04:12.072460,0 days 00:00:03.360775,0.06116517265649516,0.45975348192852683,0.003365984584940238,0.11623831368664203,600,COMPLETE
12,0.2228830956480037,2025-08-17 16:04:12.072643,2025-08-17 16:04:17.025836,0 days 00:00:04.953193,0.025404213761521514,0.48131821609195097,0.13266175347291645,0.40626421971213567,900,COMPLETE
13,0.15953211293440822,2025-08-17 16:04:17.026058,2025-08-17 16:04:21.477657,0 days 00:00:04.451599,0.05804177364697768,0.11325700993526246,0.00023457903930557117,0.05240323037015682,800,COMPLETE
14,0.18989516067427872,2025-08-17 16:04:21.477888,2025-08-17 16:04:26.444741,0 days 00:00:04.966853,0.0351924819794413,0.12317960447853114,0.0001369826470369544,0.2833045217725859,900,COMPLETE
15,0.18182597941656475,2025-08-17 16:04:26.444975,2025-08-17 16:04:31.418756,0 days 00:00:04.973781,0.058120019942540686,0.3706081022194277,0.00020146767982242867,0.09031988598910577,900,COMPLETE
16,0.1648026194393802,2025-08-17 16:04:31.418992,2025-08-17 16:04:34.782613,0 days 00:00:03.363621,0.054753779199965866,0.07714278230139739,0.00015447551564937533,0.5570324316430258,600,COMPLETE
17,0.2208474275798709,2025-08-17 16:04:34.782792,2025-08-17 16:04:40.265458,0 days 00:00:05.482666,0.03143807799100615,0.6895708915269256,0.003832082120009108,0.4637432876033553,1000,COMPLETE
