number,value,datetime_start,datetime_complete,duration,params_dt,params_mu,params_noise,params_r,params_steps,state
0,0.0002917367769417662,2025-08-17 18:37:33.721116,2025-08-17 18:37:42.146000,0 days 00:00:08.424884,0.05677834873422482,0.5158308214143394,0.01398149621644469,0.3443346280676954,1000,COMPLETE
1,0.0002697910546264425,2025-08-17 18:37:42.147244,2025-08-17 18:37:46.238998,0 days 00:00:04.091754,0.030045235894121024,0.7418062144117804,0.012321584997211733,0.2636865453681803,700,COMPLETE
2,9.565043128239385e-05,2025-08-17 18:37:46.239546,2025-08-17 18:37:50.303156,0 days 00:00:04.063610,0.06997521034522104,0.38706775019141937,0.005247863338543064,0.28380975977450307,700,COMPLETE
3,0.0003173067369143528,2025-08-17 18:37:50.303694,2025-08-17 18:37:53.840420,0 days 00:00:03.536726,0.03143906743445552,0.5052887845941761,0.015438549905071208,0.545222648212533,600,COMPLETE
4,0.0005615458949860834,2025-08-17 18:37:53.840914,2025-08-17 18:37:59.047246,0 days 00:00:05.206332,0.066244198437916,0.09020779002738798,0.11303472548281378,0.14430122790120484,900,COMPLETE
5,0.00020448037981337698,2025-08-17 18:37:59.047502,2025-08-17 18:38:04.769551,0 days 00:00:05.722049,0.039585221284616466,0.6266515036210911,0.0001668947325539418,0.11215652925273441,1000,COMPLETE
6,0.000543117767363343,2025-08-17 18:38:04.770085,2025-08-17 18:38:09.398106,0 days 00:00:04.628021,0.015551712539479888,0.05659986329510529,0.038638290046543185,0.2432219787410371,800,COMPLETE
7,0.00025555798833894303,2025-08-17 18:38:09.398647,2025-08-17 18:38:13.469837,0 days 00:00:04.071190,0.02654028246306427,0.7930714676671226,0.009985861185441524,0.2687490433563447,700,COMPLETE
8,0.00015904951814654363,2025-08-17 18:38:13.470396,2025-08-17 18:38:16.341443,0 days 00:00:02.871047,0.03947700733029681,0.07926913055191996,0.000612020487594212,0.567937749297946,500,COMPLETE
9,0.00047475016337292274,2025-08-17 18:38:16.341661,2025-08-17 18:38:18.652272,0 days 00:00:02.310611,0.06410332401744831,0.6788283315505493,0.052216745708920174,0.2833415632311691,400,COMPLETE
10,0.0004775936237235859,2025-08-17 18:38:18.652894,2025-08-17 18:38:24.422464,0 days 00:00:05.769570,0.0114364523648683,0.19385042973025968,0.016379916907578805,0.5324671374944457,1000,COMPLETE
11,0.0006942241062807535,2025-08-17 18:38:24.422960,2025-08-17 18:38:29.058195,0 days 00:00:04.635235,0.057678304964599046,0.1369644279651545,0.0006385471704473938,0.2713089579103107,800,COMPLETE
12,0.0003387781678038457,2025-08-17 18:38:29.058686,2025-08-17 18:38:31.360322,0 days 00:00:02.301636,0.06232096969566051,0.3982268425867972,0.08861800141000555,0.21600954920585452,400,COMPLETE
13,0.00019489555283880677,2025-08-17 18:38:31.360529,2025-08-17 18:38:37.077434,0 days 00:00:05.716905,0.03002340182110683,0.44410598354046393,0.04689744010308314,0.21012848029173903,1000,COMPLETE
14,0.00032054603515779476,2025-08-17 18:38:37.077929,2025-08-17 18:38:40.595891,0 days 00:00:03.517962,0.057532285903486344,0.4455869592009168,0.013718269989892052,0.19786426838798915,600,COMPLETE
15,0.0005515766326705702,2025-08-17 18:38:40.596406,2025-08-17 18:38:44.675751,0 days 00:00:04.079345,0.028661817709325185,0.7032781191668994,0.008750826980075203,0.16830673289247447,700,COMPLETE
16,0.0006886058490343194,2025-08-17 18:38:44.676246,2025-08-17 18:38:48.202382,0 days 00:00:03.526136,0.020384455494008448,0.5811071197850747,0.18150972254155118,0.38621051961648367,600,COMPLETE
17,0.00013498171517777464,2025-08-17 18:38:48.202640,2025-08-17 18:38:53.909349,0 days 00:00:05.706709,0.056832483559833336,0.41176159524194367,0.0004623558396350646,0.5935832791652116,1000,COMPLETE
18,0.00014012430376947465,2025-08-17 18:38:53.909845,2025-08-17 18:38:59.621811,0 days 00:00:05.711966,0.058649185607398596,0.7713172566769315,0.0007224722586741385,0.4396248422558646,1000,COMPLETE
19,0.00012553847293103588,2025-08-17 18:38:59.622050,2025-08-17 18:39:05.333392,0 days 00:00:05.711342,0.0458993126067695,0.1010715994510248,0.0005477553242880059,0.2923794197561793,1000,COMPLETE
20,0.00022188855440577468,2025-08-17 18:39:05.333650,2025-08-17 18:39:11.050673,0 days 00:00:05.717023,0.06347084923794614,0.09301957993457112,0.00019223559785209876,0.44261729552110896,1000,COMPLETE
