X,cac_dt,mu,r,noise,mean_norm,eff,p_opt
8,0.01,0.1,0.05,0.0,1.148793070116454e+149,248.0785149449263,0.03
8,0.01,0.1,0.05,0.05,3.724464936387964e+147,8.042873467977248,0.49
8,0.01,0.1,0.05,0.1,3.4415973433721255e+147,7.432029145994164,0.47
8,0.01,0.1,0.05,0.15,4.091566190229861e+147,8.835617925238697,0.46
8,0.01,0.1,0.2,0.0,3.083674102104489e+149,665.910433936255,0.0
8,0.01,0.1,0.2,0.05,3.7617009436046984e+147,8.123283540192165,0.42
8,0.01,0.1,0.2,0.1,4.138830015129221e+147,8.937682777444513,0.43
8,0.01,0.1,0.2,0.15,3.9816338483032324e+147,8.598222237198803,0.38
8,0.01,0.1,0.4,0.0,2.9188138919904704e+149,630.3093521030853,0.02
8,0.01,0.1,0.4,0.05,4.394693233454108e+147,9.490211939416504,0.43
8,0.01,0.1,0.4,0.1,4.7157518069735404e+147,10.183528570591545,0.38
8,0.01,0.1,0.4,0.15,4.5716266365738974e+147,9.87229446613004,0.43
8,0.01,0.1,0.6,0.0,2.7083196895821777e+149,584.8537426497026,0.02
8,0.01,0.1,0.6,0.05,6.421318231621712e+147,13.866649550105763,0.33
8,0.01,0.1,0.6,0.1,7.443201663522627e+147,16.073377035040064,0.31
8,0.01,0.1,0.6,0.15,6.037145718016084e+147,13.037040204984255,0.38
8,0.01,0.3,0.05,0.0,3.1167661732136727e+149,673.0565702342274,0.01
8,0.01,0.3,0.05,0.05,3.9947015919078986e+147,8.626441648609406,0.43
8,0.01,0.3,0.05,0.1,2.3229725004317315e+147,5.016391403776384,0.62
8,0.01,0.3,0.05,0.15,3.0732390408956983e+147,6.63657012884739,0.5
8,0.01,0.3,0.2,0.0,2.915345736020063e+149,629.5604139303916,0.0
8,0.01,0.3,0.2,0.05,4.74906730067141e+147,10.255472408139127,0.43
8,0.01,0.3,0.2,0.1,4.3370618855316516e+147,9.365758723438905,0.51
8,0.01,0.3,0.2,0.15,3.7653655014680274e+147,8.131197046082066,0.52
8,0.01,0.3,0.4,0.0,3.212617153949165e+149,693.7553101338902,0.0
