X,cac_dt,mu,r,noise,mean_norm,eff,p_opt
9,0.01,0.1,0.05,0.0,8.908921075866058e+148,9.652280300968112,0.05
9,0.01,0.1,0.05,0.05,1.573925224194885e+148,1.7052533418269462,0.28
9,0.01,0.1,0.05,0.1,1.3241422874996902e+148,1.4346285491219983,0.46
9,0.01,0.1,0.05,0.15,1.06634843735782e+148,1.1553244133859877,0.91
9,0.01,0.1,0.2,0.0,9.229861543673268e+147,1.0000000000000004,1.0
9,0.01,0.1,0.2,0.05,9.701778535549399e+147,1.0511293684789471,0.98
9,0.01,0.1,0.2,0.1,1.0612430705665618e+148,1.1497930554483837,0.94
9,0.01,0.1,0.2,0.15,1.0115621043720063e+148,1.0959667158446114,0.98
9,0.01,0.1,0.4,0.0,1.3644568036073801e+149,14.783069032521576,0.0
9,0.01,0.1,0.4,0.05,9.517840250418516e+147,1.0312007612879797,0.98
9,0.01,0.1,0.4,0.1,1.6261817132903402e+148,1.761870105630164,0.33
9,0.01,0.1,0.4,0.15,1.6290085540697082e+148,1.764932817639431,0.31
9,0.01,0.1,0.6,0.0,3.147196968406504e+149,34.097986773851375,0.01
9,0.01,0.1,0.6,0.05,1.8411120240236396e+148,1.9947341737597952,0.22
9,0.01,0.1,0.6,0.1,1.648012557333691e+148,1.7855225124837804,0.28
9,0.01,0.1,0.6,0.15,1.7752723707838603e+148,1.9234008683486106,0.18
9,0.01,0.3,0.05,0.0,3.578341101177609e+149,38.7691742096655,0.0
9,0.01,0.3,0.05,0.05,1.4811080506531783e+148,1.6046915153005998,0.27
9,0.01,0.3,0.05,0.1,1.5666167908773288e+148,1.6973350937763394,0.26
9,0.01,0.3,0.05,0.15,1.554204735248969e+148,1.6838873778278074,0.24
9,0.01,0.3,0.2,0.0,3.810082237690548e+149,41.27995008009867,0.0
9,0.01,0.3,0.2,0.05,1.5955144366712088e+148,1.7286439554067592,0.26
9,0.01,0.3,0.2,0.1,1.4666187046702136e+148,1.5889931801582957,0.33
9,0.01,0.3,0.2,0.15,1.638142806561371e+148,1.7748292309804568,0.24
9,0.01,0.3,0.4,0.0,4.097807166095504e+149,44.39727667317396,0.0
9,0.01,0.3,0.4,0.05,1.766022850121783e+148,1.9133795688759034,0.27
9,0.01,0.3,0.4,0.1,1.7135155964466014e+148,1.8564911167287816,0.31
9,0.01,0.3,0.4,0.15,1.7652659108257102e+148,1.9125594706626299,0.18
9,0.01,0.3,0.6,0.0,3.867129326175565e+149,41.898020981976074,0.01
9,0.01,0.3,0.6,0.05,1.6567635583112454e+148,1.7950036958538094,0.27
9,0.01,0.3,0.6,0.1,1.9806492750013532e+148,2.145914394955379,0.28
9,0.01,0.3,0.6,0.15,1.7966751907603237e+148,1.946589536862424,0.24
9,0.01,0.5,0.05,0.0,4.271058369380244e+149,46.27434928650582,0.0
9,0.01,0.5,0.05,0.05,1.530912301238397e+148,1.6586514261286855,0.34
9,0.01,0.5,0.05,0.1,1.5679484483391888e+148,1.6987778645650007,0.31
9,0.01,0.5,0.05,0.15,1.4472517750674238e+148,1.5680102764482555,0.32
9,0.01,0.5,0.2,0.0,4.044817870069916e+149,43.82316951268345,0.0
9,0.01,0.5,0.2,0.05,1.616371203470415e+148,1.7512410081366594,0.34
9,0.01,0.5,0.2,0.1,1.6209538543495196e+148,1.7562060348138426,0.29
9,0.01,0.5,0.2,0.15,1.671372176379167e+148,1.8108312551284502,0.26
9,0.01,0.5,0.4,0.0,3.9542643371435337e+149,42.84207643238201,0.0
9,0.01,0.5,0.4,0.05,1.574047703033339e+148,1.705386040283878,0.27
9,0.01,0.5,0.4,0.1,1.570555932948322e+148,1.7016029173534908,0.27
9,0.01,0.5,0.4,0.15,1.5661658241401248e+148,1.6968464984327687,0.33
9,0.01,0.5,0.6,0.0,3.7484214885386517e+149,40.61189293904478,0.0
9,0.01,0.5,0.6,0.05,1.991274575008273e+148,2.1574262686239534,0.18
9,0.01,0.5,0.6,0.1,2.2174476664763067e+148,2.4024712136622317,0.18
9,0.01,0.5,0.6,0.15,1.7709986331799627e+148,1.91877053063046,0.29
9,0.01,0.7,0.05,0.0,4.257736635718454e+149,46.13001631250881,0.0
9,0.01,0.7,0.05,0.05,1.5254150576193264e+148,1.6526954932113183,0.32
9,0.01,0.7,0.05,0.1,1.567263066760178e+148,1.6980352948354682,0.25
9,0.01,0.7,0.05,0.15,1.4992518967846202e+148,1.6243492816122502,0.36
9,0.01,0.7,0.2,0.0,3.88601307167469e+149,42.102615009847156,0.0
9,0.01,0.7,0.2,0.05,1.5546993048146317e+148,1.6844232142142175,0.32
9,0.01,0.7,0.2,0.1,1.5340451929734176e+148,1.6620457259458568,0.34
9,0.01,0.7,0.2,0.15,1.7275109648976294e+148,1.8716542569176193,0.27
9,0.01,0.7,0.4,0.0,3.8872524132207214e+149,42.11604253029443,0.0
9,0.01,0.7,0.4,0.05,1.8139372528008538e+148,1.9652919431323888,0.25
9,0.01,0.7,0.4,0.1,1.6058048572775766e+148,1.739793007380807,0.24
9,0.01,0.7,0.4,0.15,1.8345870604556695e+148,1.9876647680735933,0.23
9,0.01,0.7,0.6,0.0,4.0300404135003636e+149,43.66306465629282,0.0
9,0.01,0.7,0.6,0.05,1.7805049158876264e+148,1.929070016340709,0.27
9,0.01,0.7,0.6,0.1,1.909277058249384e+148,2.068586889646383,0.17
9,0.01,0.7,0.6,0.15,1.7143018474015116e+148,1.857342972361924,0.28
9,0.03,0.1,0.05,0.0,3.9735062702593016e+149,43.05055120770469,0.0
9,0.03,0.1,0.05,0.05,1.1707739912469941e+148,1.26846322201823,0.59
9,0.03,0.1,0.05,0.1,1.1167706362295156e+148,1.2099538340258436,0.65
9,0.03,0.1,0.05,0.15,1.1708476984594441e+148,1.2685430793509767,0.56
9,0.03,0.1,0.2,0.0,3.940172836323224e+149,42.68940349407592,0.0
9,0.03,0.1,0.2,0.05,1.2102212528133727e+148,1.3112019580000478,0.54
9,0.03,0.1,0.2,0.1,1.2748361695765577e+148,1.381208335081052,0.46
9,0.03,0.1,0.2,0.15,1.2175034204890257e+148,1.31909174880698,0.51
9,0.03,0.1,0.4,0.0,3.700584168613982e+149,40.09360434177475,0.0
9,0.03,0.1,0.4,0.05,1.363812292192702e+148,1.4776086138881963,0.4
9,0.03,0.1,0.4,0.1,1.3226038015231202e+148,1.4329616920740456,0.45
9,0.03,0.1,0.4,0.15,1.263446190625483e+148,1.3688679777558848,0.45
9,0.03,0.1,0.6,0.0,3.932242541370599e+149,42.603483516673215,0.0
9,0.03,0.1,0.6,0.05,1.32711273308268e+148,1.4378468483011728,0.41
9,0.03,0.1,0.6,0.1,1.382678080096312e+148,1.4980485607003367,0.39
9,0.03,0.1,0.6,0.15,1.424874638638434e+148,1.5437659946428277,0.41
9,0.03,0.3,0.05,0.0,3.617326949546303e+149,39.19156243493002,0.0
9,0.03,0.3,0.05,0.05,1.1492749719994547e+148,1.245170327378574,0.61
9,0.03,0.3,0.05,0.1,1.2156522184890179e+148,1.3170860827509416,0.51
9,0.03,0.3,0.05,0.15,1.1487415875150108e+148,1.2445924373615675,0.6
9,0.03,0.3,0.2,0.0,4.168102635093847e+149,45.1588858117913,0.0
9,0.03,0.3,0.2,0.05,1.2439094540788054e+148,1.3477010984324682,0.47
9,0.03,0.3,0.2,0.1,1.2116538810181721e+148,1.3127541245174117,0.54
9,0.03,0.3,0.2,0.15,1.2621685005053983e+148,1.3674836773370334,0.49
9,0.03,0.3,0.4,0.0,3.7734149529984487e+149,40.882682098140336,0.01
9,0.03,0.3,0.4,0.05,1.3009264690797816e+148,1.4094756058085396,0.44
9,0.03,0.3,0.4,0.1,1.2831570595720096e+148,1.3902235190641266,0.51
9,0.03,0.3,0.4,0.15,1.3416947461754698e+148,1.4536455826849894,0.39
9,0.03,0.3,0.6,0.0,3.997381457764008e+149,43.30922450840087,0.01
9,0.03,0.3,0.6,0.05,1.4041687510628956e+148,1.521332410479551,0.41
9,0.03,0.3,0.6,0.1,1.5059371511462423e+148,1.6315923527352454,0.3
9,0.03,0.3,0.6,0.15,1.442088872097502e+148,1.562416581520664,0.33
9,0.03,0.5,0.05,0.0,4.289741210652755e+149,46.476766637883294,0.01
9,0.03,0.5,0.05,0.05,1.192840249029089e+148,1.2923706855025772,0.53
9,0.03,0.5,0.05,0.1,1.212607850902054e+148,1.3137876935253192,0.48
9,0.03,0.5,0.05,0.15,1.1986528552286321e+148,1.298668294813442,0.55
9,0.03,0.5,0.2,0.0,3.0890175918204476e+149,33.467648211233,0.0
9,0.03,0.5,0.2,0.05,1.2495442423655666e+148,1.3538060527268514,0.45
9,0.03,0.5,0.2,0.1,1.1209197479462311e+148,1.2144491470888652,0.64
9,0.03,0.5,0.2,0.15,1.1961804322459112e+148,1.2959895731760458,0.5
9,0.03,0.5,0.4,0.0,9.229861543673268e+147,1.0000000000000004,1.0
9,0.03,0.5,0.4,0.05,1.1099145604860519e+148,1.2025256882069462,0.96
9,0.03,0.5,0.4,0.1,1.29226263859272e+148,1.4000888664234832,0.5
9,0.03,0.5,0.4,0.15,1.950528956513775e+149,21.132808409794535,0.03
9,0.03,0.5,0.6,0.0,9.575737699792397e+148,10.37473601795925,0.02
9,0.03,0.5,0.6,0.05,1.0413935283205283e+148,1.1282872699584165,0.93
9,0.03,0.5,0.6,0.1,1.5845737457377114e+148,1.716790374633387,0.27
9,0.03,0.5,0.6,0.15,1.518874540582884e+148,1.6456092362772412,0.35
9,0.03,0.7,0.05,0.0,3.9205975982522416e+149,42.477317559976505,0.02
9,0.03,0.7,0.05,0.05,1.1779702283473254e+148,1.2762599122137226,0.54
9,0.03,0.7,0.05,0.1,1.2372878127463463e+148,1.340526948201582,0.46
9,0.03,0.7,0.05,0.15,1.1952543972845045e+148,1.2949862699769403,0.56
9,0.03,0.7,0.2,0.0,4.0623832933650664e+149,44.013480312168745,0.0
9,0.03,0.7,0.2,0.05,1.2753692963195063e+148,1.3817859458506458,0.49
9,0.03,0.7,0.2,0.1,1.2752411191597124e+148,1.3816470736051767,0.48
9,0.03,0.7,0.2,0.15,1.2333185956557514e+148,1.3362265401490738,0.5
9,0.03,0.7,0.4,0.0,2.958616983099449e+149,32.05483602435481,0.07
9,0.03,0.7,0.4,0.05,3.453410628912139e+149,37.41562766214329,0.01
9,0.03,0.7,0.4,0.1,3.8770896574673047e+149,42.005935182472044,0.0
9,0.03,0.7,0.4,0.15,3.8952243685016606e+149,42.20241387230447,0.02
9,0.03,0.7,0.6,0.0,2.957107751223616e+149,32.03848440446657,0.02
9,0.03,0.7,0.6,0.05,1.0653244510811974e+148,1.154214985826563,0.87
9,0.03,0.7,0.6,0.1,1.304680140215815e+148,1.4135424827798484,0.56
