Q,gamma,outer_iter,n_trials_alloc,best_trial_idx,best_params_json,best_norm,best_vec_json,vectors_replaced,init_shortest_norm,opt_shortest_norm,efficiency,abs_efficiency,elapsed_s
2,0.08,0,300,89,"{""dt"":0.0678440365544512,""pump"":0.7902878015961992,""beta"":0.35552368151752933,""noise"":0.005771228607253527}",1.1563849600807505e+148,"[91697740386990044188683442471720300569544892281798731010357179955333108169829964126976536140362780689230053866523584440561787975687666219856859058422,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,1,-1,0,0,0,0,0,0]",1,9.915380102491617e+147,4.630764056175874e+146,24.971796145357995,2.3604100102235206e+149,8.42596983909607
2,0.08,1,300,297,"{""dt"":0.04946985340137138,""pump"":0.7415510044664771,""beta"":0.176461712671617,""noise"":0.011697547008102598}",1.4949855224118686e+147,"[-289944451480680873318895589666778638177954523013017399126805609252233912319668336863891636202059761968470358753280634157962314178284927290389549113227,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1,0,0,0,-2,3,0,0,0,0,0,0]",0,9.915380102491617e+147,1.4949855224118686e+147,1.0,8.420394580079748e+147,16.865161895751953
2,0.08,2,300,164,"{""dt"":0.08673614092685347,""pump"":0.8075154701281871,""beta"":0.3838184744636271,""noise"":0.016916941511001187}",2.8629757567416717e+147,"[660321196581352943857689016668472630715030305761392145177605184082109061009821949462128433010466187885175809501400803231123630724747206662671983419906,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0]",0,9.915380102491617e+147,1.4949855224118686e+147,1.9150524963765647,1.6125497661057417e+148,25.043471813201904
2,0.08,3,300,140,"{""dt"":0.09539321042668905,""pump"":0.768051416324847,""beta"":0.21201718277922826,""noise"":0.00471814083061584}",1.4949855224118686e+147,"[-237973432935059626759265929719751971896529460502595702877236086338598633492769831059648398579329602747868228804328645757686481479888580878990369755706,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-3,0,0,0,0,0,0,0]",0,9.915380102491617e+147,1.4949855224118686e+147,1.0,8.420394580079748e+147,33.16908073425293
2,0.08,4,300,87,"{""dt"":0.09583244459806288,""pump"":0.772629983797228,""beta"":0.3199512279087214,""noise"":0.019293045704339772}",4.170469920402449e+146,"[257917689151103826611955084819287657413925871049458563363215932783678663021416291251093984107956429508226783785945802127463910892594374408307289866504,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,2,0,0,0,0,0,0,0]",0,9.915380102491617e+147,1.4949855224118686e+147,0.27896390017705364,2.3489861130887704e+147,41.29621887207031
2,0.08,5,300,186,"{""dt"":0.03701355116238218,""pump"":0.7475720867733051,""beta"":0.3297317380818375,""noise"":0.018935606273474945}",9.962415397422906e+146,"[-600441578380044012144008803027944260256443094498538762131411105521053585145340131269498206546051349782619602435671296719813053297255312966732441178380,0,0,2,0,0,0,0,0,-1,0,0,0,0,0,0,3,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1,0,0,0,0,-1,0,0,0,0,0,0]",0,9.915380102491617e+147,1.4949855224118686e+147,0.6663887541432832,5.611256253614198e+147,49.429287910461426
2,0.08,6,300,117,"{""dt"":0.09086357731413455,""pump"":0.7686102487277611,""beta"":0.14472627921987039,""noise"":0.007954240094102148}",2.8629757567416717e+147,"[448232797664790868099567761273865495062750059546907511814663624945899746118965500098374279793101995480689569153127208824859446402401915223507610173729,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1,0,0,0,0,2,0,0,0,0,0,0]",0,9.915380102491617e+147,1.4949855224118686e+147,1.9150524963765647,1.6125497661057417e+148,57.573988914489746
2,0.08,7,300,252,"{""dt"":0.08281922177904619,""pump"":0.8016958560932187,""beta"":0.24570102141801664,""noise"":0.006064598092636953}",2.7673244074275448e+147,"[21230094378080977644946299364997221232006930168718565246470209619486033153097964995814005952657934800613379770677674510880621770867789028308441297797,0,0,-2,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0,0,0,2,0,0,0,0,0,0,0]",1,9.915380102491617e+147,1.4949855224118686e+147,1.8510710411181805,1.5586748561974105e+148,65.59286403656006
2,0.08,8,300,51,"{""dt"":0.038621370578377834,""pump"":0.7593009393048387,""beta"":0.28286628787127044,""noise"":0.010682638559273462}",4.996473996318859e+146,"[311730359490056384798733166935194558117991230138596470666144078674843237764825492493573111320056842582039652217990511098573549389260012984517862313338,0,0,-4,0,0,0,0,0,-3,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-3,0,0,0,4,-2,0,0,0,0,0,0]",0,9.915380102491617e+147,3.763565947169835e+147,0.13275903933810854,8.167089374470974e+146,73.70993900299072
2,0.08,9,300,221,"{""dt"":0.05302171802369986,""pump"":0.7589604404179627,""beta"":0.3645609567245637,""noise"":0.011133453268661093}",7.969639935310317e+145,"[-157016439331203256476476007820568318061285995538162882934689975535054196179599335999460199980131528732797220105414227657717490239077647397044448239446,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,0,0,0,-2,-2,0,0,0,0,0,0]",0,9.915380102491617e+147,3.763565947169835e+147,0.021175768000832852,1.302693893373336e+146,81.78765392303467
