number,value,datetime_start,datetime_complete,duration,params_dt,params_mu,params_noise,params_r,params_steps,state
0,8.244949713577764e-05,2025-08-18 00:13:28.957585,2025-08-18 00:13:36.775897,0 days 00:00:07.818312,0.05717935728714987,0.42228937018625784,0.00028489509633229963,0.5634017987324761,900,COMPLETE
1,0.0012839408002493422,2025-08-18 00:13:36.776768,2025-08-18 00:13:41.299329,0 days 00:00:04.522561,0.024784369911339366,0.05965109560350519,0.23514558356771872,0.4230246681463614,700,COMPLETE
2,5.3786351636037924e-05,2025-08-18 00:13:41.299782,2025-08-18 00:13:43.673687,0 days 00:00:02.373905,0.06122544467168856,0.6091193765899393,0.030160689793019883,0.23358993691884553,400,COMPLETE
3,0.00011713954870101407,2025-08-18 00:13:43.673878,2025-08-18 00:13:46.773913,0 days 00:00:03.100035,0.03383984252582385,0.7806564707500403,0.011172337134589346,0.393319403181938,500,COMPLETE
4,0.0020046784591746243,2025-08-18 00:13:46.774095,2025-08-18 00:13:52.630412,0 days 00:00:05.856317,0.010591180313583134,0.1089612689000183,0.035806645741808744,0.10453322129441281,1000,COMPLETE
5,0.0012717610528558871,2025-08-18 00:13:52.630911,2025-08-18 00:13:58.035136,0 days 00:00:05.404225,0.030310642181946398,0.24503667022449305,0.00012434429162019007,0.06501928579873661,900,COMPLETE
6,4.335673235304984e-05,2025-08-18 00:13:58.035349,2025-08-18 00:14:03.410118,0 days 00:00:05.374769,0.059271945169069376,0.09375579560956428,0.14682355998542643,0.5737171282776942,900,COMPLETE
7,0.001201739078633196,2025-08-18 00:14:03.410369,2025-08-18 00:14:06.443704,0 days 00:00:03.033335,0.012923340032703965,0.4406522927928685,0.1059884044545777,0.3770774133344529,500,COMPLETE
8,0.00023366852093798874,2025-08-18 00:14:06.443883,2025-08-18 00:14:08.788514,0 days 00:00:02.344631,0.035877267587000876,0.6917181984587957,0.0009832906106475403,0.2511293945775514,400,COMPLETE
9,4.3078206450877996e-05,2025-08-18 00:14:08.789025,2025-08-18 00:14:13.381969,0 days 00:00:04.592944,0.04462478153854759,0.1971154886224285,0.00134258847078938,0.15447115812201517,800,COMPLETE
10,0.00010039537761159003,2025-08-18 00:14:13.382193,2025-08-18 00:14:18.470374,0 days 00:00:05.088181,0.06890784146155798,0.2023283458798812,0.0002788033325073064,0.3102136842842891,900,COMPLETE
11,0.0002650891387040437,2025-08-18 00:14:18.470594,2025-08-18 00:14:22.538561,0 days 00:00:04.067967,0.03675525082209421,0.10427378956553444,0.026613088163849236,0.16745743612063885,700,COMPLETE
12,0.0007128107158972127,2025-08-18 00:14:22.538785,2025-08-18 00:14:25.977022,0 days 00:00:03.438237,0.03993439894321442,0.1314739885378251,0.08134745270052308,0.08642949212457858,600,COMPLETE
13,4.7985070079522374e-05,2025-08-18 00:14:25.977204,2025-08-18 00:14:28.954077,0 days 00:00:02.976873,0.03228181454180304,0.5143940042306402,0.0579057398946517,0.30703491324933607,500,COMPLETE
14,0.0003683864999777357,2025-08-18 00:14:28.954260,2025-08-18 00:14:34.937012,0 days 00:00:05.982752,0.030813502543801014,0.23109607011753425,0.004714088153030389,0.08204395235444027,1000,COMPLETE
15,1.9522488194257427e-05,2025-08-18 00:14:34.937228,2025-08-18 00:14:37.389227,0 days 00:00:02.451999,0.06974950005990217,0.49604400475840166,0.0014150942870516576,0.48697741944538675,400,COMPLETE
16,0.0018016450128455483,2025-08-18 00:14:37.389430,2025-08-18 00:14:43.467801,0 days 00:00:06.078371,0.010464270521688192,0.2896423893940727,0.012370291262071509,0.13319084706530343,1000,COMPLETE
17,0.00045314537654988276,2025-08-18 00:14:43.467988,2025-08-18 00:14:46.016483,0 days 00:00:02.548495,0.039583345680947804,0.26843229015138964,0.08391520138216348,0.21599410233619062,400,COMPLETE
18,0.00016057200111904105,2025-08-18 00:14:46.016691,2025-08-18 00:14:51.476767,0 days 00:00:05.460076,0.0289529328340196,0.7087275345951265,0.010462273821209208,0.12644978316459737,900,COMPLETE
19,0.00011946402600236005,2025-08-18 00:14:51.476974,2025-08-18 00:14:55.450161,0 days 00:00:03.973187,0.03426617759462678,0.07043396292003208,0.04087114647578666,0.33541364742842467,700,COMPLETE
20,4.316118291334933e-05,2025-08-18 00:14:55.450642,2025-08-18 00:14:58.986641,0 days 00:00:03.535999,0.04633838064721848,0.19262994057640587,0.05091791370512413,0.23684057376259493,600,COMPLETE
21,0.0024463937111334566,2025-08-18 00:14:58.986820,2025-08-18 00:15:05.125793,0 days 00:00:06.138973,0.01116904159412241,0.47597798338361896,0.012009840248564269,0.19772461296195917,1000,COMPLETE
