number,value,datetime_start,datetime_complete,duration,params_dt,params_mu,params_noise,params_r,params_steps,state
0,0.0006107012161206233,2025-08-17 18:45:53.474708,2025-08-17 18:45:59.521798,0 days 00:00:06.047090,0.010335537889266885,0.24423305530014533,0.0004162579090819885,0.12873922160366613,600,COMPLETE
1,0.0008466979434653407,2025-08-17 18:45:59.522128,2025-08-17 18:46:03.411012,0 days 00:00:03.888884,0.038784861930376016,0.05148847048700193,0.009402242959831972,0.2335593315025858,700,COMPLETE
2,0.0002500588929649436,2025-08-17 18:46:03.411281,2025-08-17 18:46:07.838087,0 days 00:00:04.426806,0.06191210610003763,0.6348193584321871,0.0017474072456748818,0.5943955678948615,800,COMPLETE
3,0.00048267589864285637,2025-08-17 18:46:07.838307,2025-08-17 18:46:10.098675,0 days 00:00:02.260368,0.05457620943814913,0.6353367536625731,0.0009219515062413906,0.4799659546108531,400,COMPLETE
4,0.00026306510519892085,2025-08-17 18:46:10.098853,2025-08-17 18:46:15.566978,0 days 00:00:05.468125,0.06456778748891903,0.3851006457545574,0.0016401557013602977,0.15480667704472875,1000,COMPLETE
5,0.0013388461845196865,2025-08-17 18:46:15.567218,2025-08-17 18:46:18.932712,0 days 00:00:03.365494,0.05686228179169598,0.3439451095221379,0.04475732312404815,0.2860196920306032,600,COMPLETE
6,0.0003141102191266764,2025-08-17 18:46:18.932888,2025-08-17 18:46:21.685477,0 days 00:00:02.752589,0.06675913729947447,0.19912022094206483,0.09404401182709111,0.39330888030663136,500,COMPLETE
7,0.0007596400598102,2025-08-17 18:46:21.685708,2025-08-17 18:46:24.493055,0 days 00:00:02.807347,0.04333132200184189,0.2524859563158432,0.0011412730092075594,0.29533968658684107,500,COMPLETE
8,0.0005296675468684012,2025-08-17 18:46:24.493227,2025-08-17 18:46:26.701985,0 days 00:00:02.208758,0.04803003051055603,0.5229516741616236,0.0578923857525401,0.4610974701361407,400,COMPLETE
9,0.0005818521907284424,2025-08-17 18:46:26.702220,2025-08-17 18:46:29.465081,0 days 00:00:02.762861,0.03867026006613758,0.3532067953897538,0.027215090233725262,0.34799441694573974,500,COMPLETE
10,0.0010987557520044462,2025-08-17 18:46:29.465285,2025-08-17 18:46:32.798350,0 days 00:00:03.333065,0.024253909724473083,0.4686971923277183,0.1238005521474227,0.24350983166921847,600,COMPLETE
11,0.0005321310594560715,2025-08-17 18:46:32.798528,2025-08-17 18:46:36.690956,0 days 00:00:03.892428,0.05053381555384043,0.20261908337725604,0.024647313836153956,0.5468811313434359,700,COMPLETE
12,0.0012202982254602333,2025-08-17 18:46:36.691199,2025-08-17 18:46:39.465431,0 days 00:00:02.774232,0.045015816825294354,0.3480757119032564,0.0012307718454708887,0.26047020345865457,500,COMPLETE
13,0.0005003777279204896,2025-08-17 18:46:39.465630,2025-08-17 18:46:42.211502,0 days 00:00:02.745872,0.02169314904160243,0.6963310568347423,0.03484872200750739,0.3609836357117319,500,COMPLETE
14,0.00042764967138054474,2025-08-17 18:46:42.211730,2025-08-17 18:46:44.433282,0 days 00:00:02.221552,0.04816502579625337,0.5718999004647065,0.0036232795077895293,0.37853593666594765,400,COMPLETE
15,0.0007863060632964399,2025-08-17 18:46:44.433510,2025-08-17 18:46:46.650191,0 days 00:00:02.216681,0.06588824101747902,0.4040544548987192,0.23055374826995956,0.23486712131735138,400,COMPLETE
16,0.0010232734727419696,2025-08-17 18:46:46.650421,2025-08-17 18:46:50.558943,0 days 00:00:03.908522,0.01589839611663757,0.35733961975232337,0.011279414325251789,0.23534745564636905,700,COMPLETE
17,0.0006466727088740127,2025-08-17 18:46:50.559172,2025-08-17 18:46:55.500909,0 days 00:00:04.941737,0.0404751274382845,0.548346033511164,0.0011883389751680407,0.3430955089108695,900,COMPLETE
18,0.0004974857137929231,2025-08-17 18:46:55.501146,2025-08-17 18:46:59.411794,0 days 00:00:03.910648,0.06968729224512936,0.4418935775274959,0.00031553078269249524,0.21507778301471753,700,COMPLETE
19,0.000612235923005301,2025-08-17 18:46:59.412032,2025-08-17 18:47:02.166226,0 days 00:00:02.754194,0.036942904000670795,0.08627567674560514,0.010283956522111129,0.4744315739720986,500,COMPLETE
20,0.0004161864608691853,2025-08-17 18:47:02.166434,2025-08-17 18:47:06.585055,0 days 00:00:04.418621,0.06372322630814654,0.63824278542097,0.0001411906624149065,0.34355038341587035,800,COMPLETE
21,0.0025972786083615805,2025-08-17 18:47:06.585296,2025-08-17 18:47:11.522857,0 days 00:00:04.937561,0.04782181692011164,0.3876688286286888,0.2627456952582714,0.2661468036741597,900,COMPLETE
22,0.0005011411661290044,2025-08-17 18:47:11.523081,2025-08-17 18:47:15.415340,0 days 00:00:03.892259,0.04303547321335136,0.17565707437675632,0.004390762408849058,0.20243241692186337,700,COMPLETE
23,0.0005311650080327835,2025-08-17 18:47:15.415584,2025-08-17 18:47:19.843342,0 days 00:00:04.427758,0.06856990908328903,0.1655739684499254,0.0763912547352114,0.23841828493908257,800,COMPLETE
24,0.0017092927764593253,2025-08-17 18:47:19.843583,2025-08-17 18:47:22.639540,0 days 00:00:02.795957,0.021825857923656915,0.7238890048334976,0.009188522389933333,0.4624264583675192,500,COMPLETE
25,0.0015013216674865104,2025-08-17 18:47:22.639744,2025-08-17 18:47:27.048230,0 days 00:00:04.408486,0.058949271339027526,0.6922855890269414,0.12374682781511569,0.402441896425076,800,COMPLETE
26,0.0004079452063706489,2025-08-17 18:47:27.048462,2025-08-17 18:47:29.847366,0 days 00:00:02.798904,0.06725017257390409,0.10866741038128154,0.003964496725187561,0.34093145278558906,500,COMPLETE
27,0.0005502045505535954,2025-08-17 18:47:29.847559,2025-08-17 18:47:33.733165,0 days 00:00:03.885606,0.017071076444972445,0.3602286574574012,0.0009784157084444121,0.08746463307438587,700,COMPLETE
28,0.0009619079693709363,2025-08-17 18:47:33.733397,2025-08-17 18:47:38.161258,0 days 00:00:04.427861,0.039684793576932754,0.2579225131870525,0.10921339804257119,0.5020483239051171,800,COMPLETE
29,0.0006275305909465436,2025-08-17 18:47:38.161472,2025-08-17 18:47:42.582226,0 days 00:00:04.420754,0.013194221624031815,0.07647441132603867,0.14084866342517952,0.1716799480873911,800,COMPLETE
30,0.0008169164060402152,2025-08-17 18:47:42.582472,2025-08-17 18:47:47.555458,0 days 00:00:04.972986,0.04526799302287814,0.4110667208745589,0.2590505732490148,0.19979913843271732,900,COMPLETE
31,0.000465622059825506,2025-08-17 18:47:47.555685,2025-08-17 18:47:51.990831,0 days 00:00:04.435146,0.06674234329174794,0.701465291755334,0.20453541755758556,0.4287247411497543,800,COMPLETE
32,0.0002089676609776252,2025-08-17 18:47:51.991055,2025-08-17 18:47:54.753666,0 days 00:00:02.762611,0.016072710107954864,0.546517656019651,0.0007641863584060661,0.49166673974164843,500,COMPLETE
33,0.000944696475341136,2025-08-17 18:47:54.753877,2025-08-17 18:47:59.697209,0 days 00:00:04.943332,0.058446496696373654,0.41631148793195116,0.16935971974129121,0.40094416307060354,900,COMPLETE
34,0.0006410115850645276,2025-08-17 18:47:59.697442,2025-08-17 18:48:02.485489,0 days 00:00:02.788047,0.031415219428622396,0.7367857921055266,0.006647285482638869,0.5294772685972133,500,COMPLETE
35,0.0010038860434792678,2025-08-17 18:48:02.485665,2025-08-17 18:48:07.968478,0 days 00:00:05.482813,0.06090350613409249,0.6722487782890635,0.04500554139630942,0.234213334193932,1000,COMPLETE
36,0.0010757953563937002,2025-08-17 18:48:07.968720,2025-08-17 18:48:11.868990,0 days 00:00:03.900270,0.05092342558710053,0.7024042342022284,0.03307532311206294,0.32258796812692386,700,COMPLETE
37,0.0017935573904557596,2025-08-17 18:48:11.869232,2025-08-17 18:48:15.769412,0 days 00:00:03.900180,0.05290272411090101,0.3803080549857106,0.22663105804714215,0.24861463059744918,700,COMPLETE
38,0.000835282321534156,2025-08-17 18:48:15.769654,2025-08-17 18:48:19.760054,0 days 00:00:03.990400,0.04723746467691719,0.37636539499404453,0.20959872051476264,0.2820810657175372,700,COMPLETE
39,0.002891057137623093,2025-08-17 18:48:19.760277,2025-08-17 18:48:25.266563,0 days 00:00:05.506286,0.049099485434599154,0.20721092445855274,0.10941520617603524,0.2950900923099975,1000,COMPLETE
40,0.0015240152676342094,2025-08-17 18:48:25.266816,2025-08-17 18:48:30.766745,0 days 00:00:05.499929,0.03826116614338424,0.0847152055517436,0.17528865891271916,0.27735682223678715,1000,COMPLETE
41,0.0005067744765133988,2025-08-17 18:48:30.766987,2025-08-17 18:48:36.251647,0 days 00:00:05.484660,0.04006269734273498,0.1682743766490022,0.0592416380785945,0.3290483231077229,1000,COMPLETE
42,0.0008828831852660693,2025-08-17 18:48:36.251864,2025-08-17 18:48:40.675433,0 days 00:00:04.423569,0.04176662420773596,0.06489416167024048,0.12245910534791742,0.2967344554301047,800,COMPLETE
43,0.0015991992403452645,2025-08-17 18:48:40.675677,2025-08-17 18:48:46.153076,0 days 00:00:05.477399,0.05866114692015255,0.325631027223417,0.01594443531010467,0.3014572524951827,1000,COMPLETE
44,0.001321416586695237,2025-08-17 18:48:46.153328,2025-08-17 18:48:51.654220,0 days 00:00:05.500892,0.05206148876251651,0.21929945890485947,0.02840272533494324,0.3406797961159891,1000,COMPLETE
45,0.00042715551270053456,2025-08-17 18:48:51.654465,2025-08-17 18:48:57.136009,0 days 00:00:05.481544,0.05801357209720626,0.4034283818379359,0.018569676690291352,0.24095416125787483,1000,COMPLETE
46,0.000751114062714445,2025-08-17 18:48:57.136262,2025-08-17 18:48:59.918276,0 days 00:00:02.782014,0.019148321033053996,0.7264557298251393,0.011104445401805895,0.48207836518866154,500,COMPLETE
47,0.0003384624760974829,2025-08-17 18:48:59.918489,2025-08-17 18:49:02.127153,0 days 00:00:02.208664,0.022616064691301778,0.7655418141312808,0.0020340065467479677,0.14788072381258383,400,COMPLETE
48,0.0007887412271527662,2025-08-17 18:49:02.127373,2025-08-17 18:49:07.614760,0 days 00:00:05.487387,0.055750765635400865,0.13761210793601614,0.22312167599167906,0.254491974682998,1000,COMPLETE
49,0.00034645130497088693,2025-08-17 18:49:07.615023,2025-08-17 18:49:13.104416,0 days 00:00:05.489393,0.06604448455273153,0.33745839485508355,0.0012438980382175522,0.31988494517074245,1000,COMPLETE
50,0.001156675829017293,2025-08-17 18:49:13.104642,2025-08-17 18:49:31.646535,0 days 00:00:18.541893,0.05383042473086988,0.31703129462469143,0.20631569982773953,0.13906183354679869,700,COMPLETE
51,0.0009666864085881479,2025-08-17 18:49:31.646718,2025-08-17 18:49:55.156692,0 days 00:00:23.509974,0.027966719738196276,0.32521669787294344,0.14889508944285423,0.2908820586526015,900,COMPLETE
52,0.0014554731918049297,2025-08-17 18:49:55.156908,2025-08-17 18:50:21.210295,0 days 00:00:26.053387,0.02594507946330532,0.1763296509119568,0.2700617802832719,0.1548440925208365,1000,COMPLETE
