metric,value
valid_outputs,38800
min_mc_norm,2.69768887933197e+145
max_mc_norm,1.8976201869462133e+151
best_cim_norm,1.3246062626674114e+145
mean_cim_norm,3.8012058615721965e+150
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.5537
quantile_10percent,4.742879912654673e+149
quantile_25percent,1.4069876513634059e+150
quantile_50percent,3.1935531779755065e+150
quantile_75percent,5.5802611493058236e+150
quantile_90percent,8.042664728849814e+150
within_1.0x_min_mc,5.154639175257732e-05
within_1.1x_min_mc,5.154639175257732e-05
within_1.5x_min_mc,0.00010309278350515464
within_2.0x_min_mc,0.00010309278350515464
max_abs_scale_for_G,2.4767631364045293e+300
sim_time_sec,1848.6562139987946
