metric,value
valid_outputs,38800
min_mc_norm,1.094786622523472e+146
max_mc_norm,3.0168360976229354e+151
best_cim_norm,8.541707911972125e+143
mean_cim_norm,4.218538262196589e+149
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.04292
quantile_10percent,2.6349238726892728e+147
quantile_25percent,7.202704662912104e+147
quantile_50percent,1.8188720508057464e+148
quantile_75percent,4.080057198256499e+148
quantile_90percent,1.038893789560962e+149
within_1.0x_min_mc,0.00461340206185567
within_1.1x_min_mc,0.004948453608247422
within_1.5x_min_mc,0.006778350515463918
within_2.0x_min_mc,0.008711340206185567
max_abs_scale_for_G,4.3965587941135565e+300
sim_time_sec,2235.639137983322
