metric,value
valid_outputs,38800
min_mc_norm,2.1567245030525454e+145
max_mc_norm,4.0929546030518873e+151
best_cim_norm,6.2835951201236175e+143
mean_cim_norm,8.688439841653195e+149
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.07008
quantile_10percent,3.743772192736238e+147
quantile_25percent,1.0312797420616505e+148
quantile_50percent,2.682806381268621e+148
quantile_75percent,6.5085633999174e+148
quantile_90percent,1.1025101747949916e+150
within_1.0x_min_mc,0.0006701030927835052
within_1.1x_min_mc,0.0006958762886597938
within_1.5x_min_mc,0.0009020618556701031
within_2.0x_min_mc,0.0010567010309278351
max_abs_scale_for_G,6.124648852969228e+300
sim_time_sec,1953.8326170444489
