X,valid_outputs,min_mc_norm,max_mc_norm,best_cim_norm,mean_cim_norm,best_percentile_uniform,mean_percentile_uniform_of_mean,modal_norm,peak_prob,log_skew,log_kurt,quantile_10,quantile_25,quantile_50,quantile_75,quantile_90,within_1.0x_min_mc,within_1.1x_min_mc,within_1.5x_min_mc,within_2.0x_min_mc
2,38800,2.877721196444109e+148,4.8607972169424325e+148,2.8777211964441085e+148,3.200788813082508e+148,0.0,0.5023333333333333,2.883666353488194e+148,0.0,1.825619708804492,1.3328873190085924,2.8777211964441085e+148,2.8777211964441085e+148,2.8777211964441085e+148,2.8777211964441085e+148,4.8607972169424325e+148,0.8370876288659794,0.8370876288659794,0.8370876288659794,1.0
3,38800,5.005515725902871e+147,9.221042861294577e+148,5.005515725902873e+147,2.210819363312516e+148,0.24906666666666666,0.5035,5.063262564458912e+147,0.7531443298969073,1.3195916958432894,-0.1841506799405992,5.005515725902873e+147,5.005515725902873e+147,5.005515725902873e+147,5.005515725902873e+147,9.221042861294577e+148,0.0,0.7531443298969073,0.7531443298969073,0.7531443298969073
4,38800,5.023360387649661e+147,1.7939749683824183e+149,5.023360387649709e+147,1.8869474790426563e+148,0.12553333333333333,0.2517,5.094573229616577e+147,0.872680412371134,2.4445932773221366,4.166365896493688,5.023360387649709e+147,5.023360387649709e+147,5.023360387649709e+147,5.023360387649709e+147,8.21815524993932e+148,0.0,0.872680412371134,0.872680412371134,0.872680412371134
5,38800,4.225869259423829e+147,2.771839402831944e+149,4.225869259423844e+147,5.266285067284225e+148,0.06133333333333333,0.25156666666666666,4.2960469336320574e+147,0.5040463917525774,0.6110652118811216,-1.3803077802645645,4.225869259423844e+147,4.225869259423844e+147,4.225869259423844e+147,8.161105339328925e+148,1.8997902739615151e+149,0.0,0.5040463917525774,0.5805412371134021,0.5805412371134021
6,38800,1.068110407212636e+148,4.0045888761760674e+149,1.0681104072126178e+148,8.944868869100847e+148,0.0,0.31,1.0834597144740855e+148,0.41,0.28286895669534884,-1.5137182104816382,1.0681104072126178e+148,1.0681104072126178e+148,3.051186427710941e+148,1.3887983827997168e+149,2.358687905966984e+149,0.41,0.41,0.41,0.46262886597938147
7,38800,1.6298517432058262e+147,6.083427303228435e+149,1.6298517432054717e+147,6.017967206825964e+148,0.0,0.1245,1.6682997566124836e+147,0.6405154639175258,1.2202048828462861,-0.28939677483490556,1.6298517432054717e+147,1.6298517432054717e+147,1.6298517432054717e+147,1.8200908461777765e+148,2.4954773664635987e+149,0.6405154639175258,0.6405154639175258,0.6405154639175258,0.7234793814432989
8,38800,4.6307640562306115e+146,8.58353543374821e+149,4.630764056175874e+146,6.529576193044237e+146,0.0,0.007366666666666666,1.836432374055635e+147,0.09497422680412371,2.93518736628372,8.107733429261499,4.630764056175874e+146,4.630764056175874e+146,4.630764056175874e+146,4.630764056175874e+146,1.8310666399473904e+147,0.8932731958762886,0.8932731958762886,0.8932731958762886,0.8932731958762886
9,38800,9.229861543671594e+147,1.1531093446395798e+150,9.229861543673264e+147,2.8274327262672875e+149,0.003766666666666667,0.4104,9.406971179203591e+147,0.12809278350515463,-0.5058470923438264,-1.1381301980191938,9.229861543673264e+147,3.5638037898619265e+148,2.0480274843357843e+149,4.592272424963926e+149,7.057771371652171e+149,0.0,0.12809278350515463,0.17280927835051546,0.20677835051546392
10,38800,3.1532126833573604e+147,1.56966913774935e+150,3.1532126833539466e+147,4.133867275531897e+149,0.0,0.4604666666666667,6.352286100543728e+149,0.029896907216494847,-0.8216596166788451,-0.14881386203868496,2.2983972888337181e+148,7.193782840494648e+148,3.0557879963509357e+149,6.562224564171423e+149,9.694805951129848e+149,0.014329896907216495,0.014329896907216495,0.014329896907216495,0.014329896907216495
11,38800,2.0209601353083197e+147,1.998017038851572e+150,2.020960135306468e+147,7.35770180349044e+147,0.0,0.0047666666666666664,2.0462243998071256e+147,0.19603092783505155,0.4809497845575289,-1.2147435983713246,2.020960135306468e+147,2.5582464487784514e+147,4.971932328868125e+147,1.1840688888483959e+148,1.5733428375102178e+148,0.19603092783505155,0.19603092783505155,0.47461340206185565,0.47461340206185565
