metric,value
valid_outputs,38800
min_mc_norm,3.903630458576751e+144
max_mc_norm,9.208348896865342e+150
best_cim_norm,1.8980508028985647e+143
mean_cim_norm,3.781128464019024e+149
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.10762
quantile_10percent,8.589097079640054e+146
quantile_25percent,2.5560987142512693e+147
quantile_50percent,7.064962191886343e+147
quantile_75percent,2.422284499101485e+148
quantile_90percent,1.4239521053744824e+150
within_1.0x_min_mc,0.002061855670103093
within_1.1x_min_mc,0.002061855670103093
within_1.5x_min_mc,0.002061855670103093
within_2.0x_min_mc,0.002061855670103093
max_abs_scale_for_G,1.2480318470415354e+300
sim_time_sec,2609.926156759262
