metric,value
valid_outputs,38800
min_mc_norm,1.3531746954061607e+146
max_mc_norm,3.048535329583862e+151
best_cim_norm,2.945614231739877e+143
mean_cim_norm,3.756465652789897e+150
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.38192
quantile_10percent,8.131626358526053e+147
quantile_25percent,3.5272227453714157e+148
quantile_50percent,2.100669342857994e+150
quantile_75percent,6.1239977156676565e+150
quantile_90percent,1.0387382368661387e+151
within_1.0x_min_mc,0.0017268041237113402
within_1.1x_min_mc,0.002036082474226804
within_1.5x_min_mc,0.002731958762886598
within_2.0x_min_mc,0.0037628865979381443
max_abs_scale_for_G,3.884361206782318e+300
sim_time_sec,1843.41561293602
