metric,value
valid_outputs,38800
min_mc_norm,2.877721196444109e+148
max_mc_norm,4.8607972169424325e+148
best_cim_norm,2.8777211964441085e+148
mean_cim_norm,3.200788813082508e+148
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.50474
quantile_10percent,2.8777211964441085e+148
quantile_25percent,2.8777211964441085e+148
quantile_50percent,2.8777211964441085e+148
quantile_75percent,2.8777211964441085e+148
quantile_90percent,4.8607972169424325e+148
within_1.0x_min_mc,0.8370876288659794
within_1.1x_min_mc,0.8370876288659794
within_1.5x_min_mc,0.8370876288659794
within_2.0x_min_mc,1.0
max_abs_scale_for_G,1.4971166808580638e+297
sim_time_sec,1907.3535652160645
