metric,value
valid_outputs,38800
min_mc_norm,2.7895849429204876e+145
max_mc_norm,1.9319460253925795e+151
best_cim_norm,3.3439350002812895e+143
mean_cim_norm,6.131522949282937e+149
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.09274
quantile_10percent,1.5102993858000327e+147
quantile_25percent,4.236792728668314e+147
quantile_50percent,1.1199819970596624e+148
quantile_75percent,3.181760226918895e+148
quantile_90percent,2.0797261616546177e+150
within_1.0x_min_mc,0.0017783505154639176
within_1.1x_min_mc,0.0021134020618556702
within_1.5x_min_mc,0.0029639175257731958
within_2.0x_min_mc,0.003943298969072165
max_abs_scale_for_G,2.6733794767542324e+300
sim_time_sec,2490.0115270614624
