metric,value
valid_outputs,38800
min_mc_norm,1.0482174234195112e+146
max_mc_norm,2.3267360093834648e+151
best_cim_norm,3.8061770980677767e+143
mean_cim_norm,1.5735175697240416e+148
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.00218
quantile_10percent,1.5637044683038415e+147
quantile_25percent,4.212855243151716e+147
quantile_50percent,1.0350381401676151e+148
quantile_75percent,2.1430377482897284e+148
quantile_90percent,3.6400676007605254e+148
within_1.0x_min_mc,0.0070618556701030925
within_1.1x_min_mc,0.007731958762886598
within_1.5x_min_mc,0.010515463917525773
within_2.0x_min_mc,0.014201030927835052
max_abs_scale_for_G,2.835963638425146e+300
sim_time_sec,2533.7462787628174
