metric,value
valid_outputs,38800
min_mc_norm,1.517637938961176e+146
max_mc_norm,6.4721440755019146e+150
best_cim_norm,6.060135287898289e+144
mean_cim_norm,1.4015644979202296e+150
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.49972
quantile_10percent,3.0841532367091127e+148
quantile_25percent,3.429269187187291e+149
quantile_50percent,1.1273793380375688e+150
quantile_75percent,2.17974355551286e+150
quantile_90percent,3.1936167913122336e+150
within_1.0x_min_mc,0.0007731958762886598
within_1.1x_min_mc,0.0011855670103092784
within_1.5x_min_mc,0.002293814432989691
within_2.0x_min_mc,0.002809278350515464
max_abs_scale_for_G,8.711162449103382e+299
sim_time_sec,2026.731976032257
