metric,value
valid_outputs,38800
min_mc_norm,2.2569677776704792e+145
max_mc_norm,7.436168720502233e+150
best_cim_norm,1.3017066869459973e+145
mean_cim_norm,1.0173047093502688e+148
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.00342
quantile_10percent,9.461151906820514e+146
quantile_25percent,2.819201268103885e+147
quantile_50percent,6.663465801647398e+147
quantile_75percent,1.39059606542102e+148
quantile_90percent,2.372568940738769e+148
within_1.0x_min_mc,0.006958762886597939
within_1.1x_min_mc,0.008969072164948454
within_1.5x_min_mc,0.008969072164948454
within_2.0x_min_mc,0.008969072164948454
max_abs_scale_for_G,9.2934351616799e+299
sim_time_sec,2789.932113170624
