metric,value
valid_outputs,38800
min_mc_norm,4.9822690276306707e+145
max_mc_norm,2.3359987528381402e+151
best_cim_norm,6.09203059211936e+143
mean_cim_norm,1.2156690450704146e+150
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.15986
quantile_10percent,1.7221162021120293e+147
quantile_25percent,4.894720981422763e+147
quantile_50percent,1.414863694389668e+148
quantile_75percent,4.170563207786433e+149
quantile_90percent,4.96651169226298e+150
within_1.0x_min_mc,0.0028608247422680414
within_1.1x_min_mc,0.0031701030927835053
within_1.5x_min_mc,0.004175257731958763
within_2.0x_min_mc,0.005644329896907217
max_abs_scale_for_G,2.9740740249219587e+300
sim_time_sec,3073.6438920497894
