metric,value
valid_outputs,38800
min_mc_norm,1.6298517432058262e+147
max_mc_norm,6.083427303228435e+149
best_cim_norm,1.6298517432054717e+147
mean_cim_norm,6.017967206825964e+148
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.1242
quantile_10percent,1.6298517432054717e+147
quantile_25percent,1.6298517432054717e+147
quantile_50percent,1.6298517432054717e+147
quantile_75percent,1.8200908461777765e+148
quantile_90percent,2.4954773664635987e+149
within_1.0x_min_mc,0.6405154639175258
within_1.1x_min_mc,0.6405154639175258
within_1.5x_min_mc,0.6405154639175258
within_2.0x_min_mc,0.7234793814432989
max_abs_scale_for_G,4.321569205789564e+298
sim_time_sec,1735.0765290260315
