metric,value
valid_outputs,38800
min_mc_norm,9.229861543671594e+147
max_mc_norm,1.1531093446395798e+150
best_cim_norm,9.229861543673264e+147
mean_cim_norm,2.8274327262672875e+149
best_percentile_uniform,0.00374
mean_percentile_uniform_of_mean,0.41716
quantile_10percent,9.229861543673264e+147
quantile_25percent,3.5638037898619265e+148
quantile_50percent,2.0480274843357843e+149
quantile_75percent,4.592272424963926e+149
quantile_90percent,7.057771371652171e+149
within_1.0x_min_mc,0.0
within_1.1x_min_mc,0.12809278350515463
within_1.5x_min_mc,0.17280927835051546
within_2.0x_min_mc,0.20677835051546392
max_abs_scale_for_G,8.688098237923003e+298
sim_time_sec,3134.5134568214417
