metric,value
valid_outputs,38800
min_mc_norm,1.6704017572610013e+146
max_mc_norm,3.1295669080557353e+150
best_cim_norm,1.67040175741258e+146
mean_cim_norm,4.6652833725682886e+147
best_percentile_uniform,0.00028
mean_percentile_uniform_of_mean,0.0045
quantile_10percent,2.5944218281170735e+146
quantile_25percent,5.44102618306491e+146
quantile_50percent,3.367276762571928e+147
quantile_75percent,5.822232659057522e+147
quantile_90percent,1.00593927620187e+148
within_1.0x_min_mc,0.0
within_1.1x_min_mc,0.0561340206185567
within_1.5x_min_mc,0.0561340206185567
within_2.0x_min_mc,0.11010309278350515
max_abs_scale_for_G,3.873336719806152e+299
sim_time_sec,2972.9339220523834
