metric,value
valid_outputs,38800
min_mc_norm,2.58480649467767e+146
max_mc_norm,4.2304700967498756e+151
best_cim_norm,5.698055280240573e+143
mean_cim_norm,6.6063308708476e+150
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.47458
quantile_10percent,1.595180592648872e+148
quantile_25percent,1.0814235294226899e+150
quantile_50percent,5.1241892053196666e+150
quantile_75percent,1.0347671778593252e+151
quantile_90percent,1.569381501739613e+151
within_1.0x_min_mc,0.002474226804123711
within_1.1x_min_mc,0.0026804123711340207
within_1.5x_min_mc,0.003711340206185567
within_2.0x_min_mc,0.004922680412371134
max_abs_scale_for_G,7.675977304078942e+300
sim_time_sec,2890.476907014847
