metric,value
valid_outputs,38800
min_mc_norm,1.8790314860163577e+146
max_mc_norm,4.665768601728278e+151
best_cim_norm,2.8241913811546686e+143
mean_cim_norm,6.784020946632133e+150
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.45772
quantile_10percent,2.137236827148684e+148
quantile_25percent,1.016130330162691e+150
quantile_50percent,4.9455168712271875e+150
quantile_75percent,1.0688446491145261e+151
quantile_90percent,1.6498086599598443e+151
within_1.0x_min_mc,0.0013917525773195875
within_1.1x_min_mc,0.0014948453608247423
within_1.5x_min_mc,0.0020876288659793813
within_2.0x_min_mc,0.0026804123711340207
max_abs_scale_for_G,8.48664668271728e+300
sim_time_sec,3141.180871963501
