metric,value
valid_outputs,38800
min_mc_norm,4.841119435299087e+146
max_mc_norm,3.7418073639225e+151
best_cim_norm,5.5341328456570675e+143
mean_cim_norm,3.6418321727713674e+149
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.03048
quantile_10percent,2.6982358631273524e+147
quantile_25percent,7.286145265378804e+147
quantile_50percent,1.8081983525794193e+148
quantile_75percent,3.83037545363017e+148
quantile_90percent,7.857456808057417e+148
within_1.0x_min_mc,0.017680412371134022
within_1.1x_min_mc,0.019149484536082475
within_1.5x_min_mc,0.026108247422680413
within_2.0x_min_mc,0.034175257731958765
max_abs_scale_for_G,5.191280339685871e+300
sim_time_sec,2046.7815251350403
