metric,value
valid_outputs,38800
min_mc_norm,1.5276793375930382e+146
max_mc_norm,4.13953031070483e+151
best_cim_norm,9.184170793398509e+143
mean_cim_norm,2.5245126446514817e+150
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.20536
quantile_10percent,3.331711787197341e+147
quantile_25percent,9.549078274150902e+147
quantile_50percent,2.988700481422731e+148
quantile_75percent,3.056529214205825e+150
quantile_90percent,9.662590950846826e+150
within_1.0x_min_mc,0.004407216494845361
within_1.1x_min_mc,0.0047680412371134025
within_1.5x_min_mc,0.006649484536082474
within_2.0x_min_mc,0.009278350515463918
max_abs_scale_for_G,5.367039891114483e+300
sim_time_sec,2593.63698720932
