metric,value
valid_outputs,38800
min_mc_norm,2.0209601353083197e+147
max_mc_norm,1.998017038851572e+150
best_cim_norm,2.020960135306468e+147
mean_cim_norm,7.35770180349044e+147
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.00466
quantile_10percent,2.020960135306468e+147
quantile_25percent,2.5582464487784514e+147
quantile_50percent,4.971932328868125e+147
quantile_75percent,1.1840688888483959e+148
quantile_90percent,1.5733428375102178e+148
within_1.0x_min_mc,0.19603092783505155
within_1.1x_min_mc,0.19603092783505155
within_1.5x_min_mc,0.47461340206185565
within_2.0x_min_mc,0.47461340206185565
max_abs_scale_for_G,1.8348192437867886e+299
sim_time_sec,1770.392718076706
