X,valid_outputs,min_mc_norm,max_mc_norm,best_cim_norm,mean_cim_norm,best_percentile_uniform,mean_percentile_uniform_of_mean,quantile_10,quantile_25,quantile_50,quantile_75,quantile_90,within_1.0x_min_mc,within_1.1x_min_mc,within_1.5x_min_mc,within_2.0x_min_mc
10,38800,3.1532126833573604e+147,1.56966913774935e+150,3.1532126833539466e+147,4.133867275531897e+149,0.0,0.4564,2.2983972888337181e+148,7.193782840494648e+148,3.0557879963509357e+149,6.562224564171423e+149,9.694805951129848e+149,0.014329896907216495,0.014329896907216495,0.014329896907216495,0.014329896907216495
11,38800,2.0209601353083197e+147,1.998017038851572e+150,2.020960135306468e+147,7.35770180349044e+147,0.0,0.00466,2.020960135306468e+147,2.5582464487784514e+147,4.971932328868125e+147,1.1840688888483959e+148,1.5733428375102178e+148,0.19603092783505155,0.19603092783505155,0.47461340206185565,0.47461340206185565
12,38800,9.614026176234537e+146,2.507205540375659e+150,9.614026176788523e+146,6.281395629106174e+149,0.00048,0.48358,1.6472376716461612e+148,1.492062985164618e+149,5.066302550753087e+149,9.775386785345749e+149,1.4528160337053153e+150,0.0,0.01193298969072165,0.01193298969072165,0.01193298969072165
13,38800,1.6704017572610013e+146,3.1295669080557353e+150,1.67040175741258e+146,4.6652833725682886e+147,0.00028,0.0045,2.5944218281170735e+146,5.44102618306491e+146,3.367276762571928e+147,5.822232659057522e+147,1.00593927620187e+148,0.0,0.0561340206185567,0.0561340206185567,0.11010309278350515
14,38800,1.3698439650884787e+144,3.881893327237758e+150,1.3698753036497312e+144,2.5510980281347887e+149,0.00012,0.14464,9.513927523801627e+146,2.949602318258007e+147,9.441296435308609e+147,1.4994606910952123e+149,9.935150375667738e+149,0.0,0.014664948453608247,0.014664948453608247,0.014664948453608247
15,38800,1.0531358255531732e+146,4.683647201869257e+150,1.0531358245640883e+146,4.868238917813682e+147,0.0,0.0026,5.684710333359277e+146,1.644398963559015e+147,3.3655388389266385e+147,7.249549300849997e+147,1.1037840199660671e+148,0.024149484536082476,0.024149484536082476,0.024149484536082476,0.024149484536082476
16,38800,6.693847458357113e+145,5.5189772317180644e+150,6.6938474055273e+145,5.688158287671569e+148,0.0,0.02504,1.30105176027453e+147,3.535049944255981e+147,8.53459922138845e+147,1.8280759324647454e+148,4.297908944031424e+148,0.005128865979381443,0.005128865979381443,0.010592783505154638,0.010592783505154638
17,38800,1.517637938961176e+146,6.4721440755019146e+150,6.060135287898289e+144,1.4015644979202296e+150,0.0,0.49972,3.0841532367091127e+148,3.429269187187291e+149,1.1273793380375688e+150,2.17974355551286e+150,3.1936167913122336e+150,0.0007731958762886598,0.0011855670103092784,0.002293814432989691,0.002809278350515464
18,38800,2.2569677776704792e+145,7.436168720502233e+150,1.3017066869459973e+145,1.0173047093502688e+148,0.0,0.00342,9.461151906820514e+146,2.819201268103885e+147,6.663465801647398e+147,1.39059606542102e+148,2.372568940738769e+148,0.006958762886597939,0.008969072164948454,0.008969072164948454,0.008969072164948454
19,38800,3.3071549495301506e+145,8.502335431306906e+150,1.4846563123351061e+145,3.083674717105346e+149,0.0,0.0977,1.3434504363564264e+147,3.910670907402985e+147,1.0443408395717641e+148,3.059399802674439e+148,1.077987547952069e+150,0.0016237113402061856,0.002293814432989691,0.002293814432989691,0.003943298969072165
20,38800,3.903630458576751e+144,9.208348896865342e+150,1.8980508028985647e+143,3.781128464019024e+149,0.0,0.10762,8.589097079640054e+146,2.5560987142512693e+147,7.064962191886343e+147,2.422284499101485e+148,1.4239521053744824e+150,0.002061855670103093,0.002061855670103093,0.002061855670103093,0.002061855670103093
21,38800,5.119388250454158e+145,1.0383347180600979e+151,9.92399339356957e+144,4.908706069171826e+149,0.0,0.12938,2.653368861399851e+147,7.502323107150781e+147,2.163449762728759e+148,1.1837862129426424e+149,1.963870361605489e+150,0.0019072164948453609,0.002036082474226804,0.0027577319587628866,0.003092783505154639
22,38800,3.25444892628145e+145,1.1815495176708728e+151,2.517578863703575e+145,2.4066739693148165e+150,0.0,0.54534,2.614762683421785e+149,8.717033375297524e+149,2.024831171911068e+150,3.5650608819451806e+150,5.1006288847629476e+150,7.731958762886597e-05,7.731958762886597e-05,7.731958762886597e-05,7.731958762886597e-05
23,38800,9.57532429728535e+144,1.2078623165315246e+151,2.939633470943452e+143,1.3451514311811743e+150,0.0,0.29998,3.96471872574092e+147,1.2890525864918507e+148,1.6228655745538545e+149,2.220905238166019e+150,4.286716523381209e+150,0.0003092783505154639,0.0003350515463917526,0.00036082474226804123,0.0005927835051546392
24,38800,1.4310479281191203e+146,1.412804278303429e+151,1.4880234287794293e+144,6.65615803551766e+147,0.0,0.00142,7.052908171853362e+146,1.875373973032725e+147,4.4809328660539694e+147,9.183125844388819e+147,1.535610046282055e+148,0.022628865979381442,0.02404639175257732,0.032190721649484534,0.04402061855670103
25,38800,5.056363544212138e+145,1.4663752660223965e+151,8.47865033982661e+143,1.7853492867281134e+150,0.0,0.3445,2.912417098978948e+147,1.0764068896370416e+148,6.588281573228534e+149,3.0024134346044095e+150,5.296141493676235e+150,0.001520618556701031,0.0017010309278350515,0.0023711340206185568,0.0032989690721649486
26,38800,1.6085222028811546e+146,1.5147213533761903e+151,8.398236307516542e+143,8.803630103514586e+148,0.0,0.01574,9.063155872875854e+146,2.436914880702567e+147,5.925963850039169e+147,1.2411775672565868e+148,2.2912433520705554e+148,0.017242268041237113,0.0188659793814433,0.02556701030927835,0.034922680412371135
27,38800,9.073874317621716e+145,1.7026261336322765e+151,3.298961688838797e+144,2.9072687032158964e+150,0.0,0.48336,1.8274783713803615e+148,6.456614321653701e+149,2.2663644203881798e+150,4.497605758601389e+150,6.771775309904415e+150,0.0007731958762886598,0.0009020618556701031,0.0012628865979381443,0.0016494845360824743
28,38800,1.2629522416245872e+145,1.8977928278048638e+151,3.160418552358564e+144,2.049647665191353e+150,0.0,0.33326,5.8591774322137815e+147,2.118130028003345e+148,8.175830795957207e+149,3.382564753612054e+150,6.035451959070382e+150,0.00023195876288659793,0.0003350515463917526,0.00046391752577319587,0.0006701030927835052
