X,valid_outputs,min_mc_norm,max_mc_norm,best_cim_norm,mean_cim_norm,best_percentile_uniform,mean_percentile_uniform_of_mean,quantile_10,quantile_25,quantile_50,quantile_75,quantile_90,within_1.0x_min_mc,within_1.1x_min_mc,within_1.5x_min_mc,within_2.0x_min_mc
29,38800,2.69768887933197e+145,1.8976201869462133e+151,1.3246062626674114e+145,3.8012058615721965e+150,0.0,0.5537,4.742879912654673e+149,1.4069876513634059e+150,3.1935531779755065e+150,5.5802611493058236e+150,8.042664728849814e+150,5.154639175257732e-05,5.154639175257732e-05,0.00010309278350515464,0.00010309278350515464
30,38800,2.7895849429204876e+145,1.9319460253925795e+151,3.3439350002812895e+143,6.131522949282937e+149,0.0,0.09274,1.5102993858000327e+147,4.236792728668314e+147,1.1199819970596624e+148,3.181760226918895e+148,2.0797261616546177e+150,0.0017783505154639176,0.0021134020618556702,0.0029639175257731958,0.003943298969072165
31,38800,1.5738191883144228e+146,2.215371618571021e+151,8.27984034851207e+143,1.100185650055962e+150,0.0,0.15844,1.7215868547875876e+147,4.918176720152922e+147,1.4191674156813616e+148,6.765063623494877e+149,4.3063927575507584e+150,0.008608247422680413,0.009664948453608248,0.013530927835051547,0.018195876288659794
32,38800,1.0482174234195112e+146,2.3267360093834648e+151,3.8061770980677767e+143,1.5735175697240416e+148,0.0,0.00218,1.5637044683038415e+147,4.212855243151716e+147,1.0350381401676151e+148,2.1430377482897284e+148,3.6400676007605254e+148,0.0070618556701030925,0.007731958762886598,0.010515463917525773,0.014201030927835052
33,38800,4.9822690276306707e+145,2.3359987528381402e+151,6.09203059211936e+143,1.2156690450704146e+150,0.0,0.15986,1.7221162021120293e+147,4.894720981422763e+147,1.414863694389668e+148,4.170563207786433e+149,4.96651169226298e+150,0.0028608247422680414,0.0031701030927835053,0.004175257731958763,0.005644329896907217
34,38800,9.432712865500405e+145,2.8420575320466206e+151,9.991864843248811e+143,1.8823865535411813e+150,0.0,0.23558,2.2226255243857072e+147,6.754295729273392e+147,2.775938669854419e+148,2.7810732551653698e+150,6.605437216582714e+150,0.004149484536082475,0.004690721649484536,0.006314432989690722,0.008453608247422681
35,38800,6.990046461569086e+145,2.590065922629739e+151,8.938666896462701e+144,4.9718078406200635e+150,0.0,0.55274,5.668692683487798e+149,1.805080498625587e+150,4.156220403425225e+150,7.311515878851638e+150,1.0564027054099261e+151,0.00018041237113402062,0.00018041237113402062,0.0002577319587628866,0.0003350515463917526
36,38800,1.266574286291182e+146,2.8774994262379126e+151,7.110324798899122e+144,4.042204546809458e+150,0.0,0.4499,1.0341849220450385e+148,1.9346429615560954e+149,2.8978672329034938e+150,6.5418368150921825e+150,1.012042511812138e+151,0.0016752577319587628,0.0018556701030927835,0.002422680412371134,0.003092783505154639
37,38800,1.647743874088135e+144,2.8383947175595357e+151,1.4768104495660495e+145,5.335466907250174e+150,2e-05,0.55116,5.945554098122621e+149,1.911025092233965e+150,4.469681385888168e+150,7.895712935370637e+150,1.1285453494336376e+151,0.0,0.0,0.0,0.0
38,38800,2.291837457150624e+146,2.952032974125166e+151,8.5885046896259e+143,2.0649030570722444e+150,0.0,0.22184,3.822278504545509e+147,1.121176501037151e+148,3.741686678921422e+148,2.7202207956769975e+150,7.793609663923608e+150,0.006520618556701031,0.007371134020618557,0.01,0.013144329896907217
39,38800,1.3531746954061607e+146,3.048535329583862e+151,2.945614231739877e+143,3.756465652789897e+150,0.0,0.38192,8.131626358526053e+147,3.5272227453714157e+148,2.100669342857994e+150,6.1239977156676565e+150,1.0387382368661387e+151,0.0017268041237113402,0.002036082474226804,0.002731958762886598,0.0037628865979381443
40,38800,1.094786622523472e+146,3.0168360976229354e+151,8.541707911972125e+143,4.218538262196589e+149,0.0,0.04292,2.6349238726892728e+147,7.202704662912104e+147,1.8188720508057464e+148,4.080057198256499e+148,1.038893789560962e+149,0.00461340206185567,0.004948453608247422,0.006778350515463918,0.008711340206185567
41,38800,4.468639085844029e+146,3.3777820884856486e+151,8.58758186274812e+143,1.597869740673954e+148,0.0,0.00164,1.7254058567147985e+147,4.564480500407588e+147,1.0812296893625792e+148,2.20587632797708e+148,3.659102479611436e+148,0.026288659793814433,0.02902061855670103,0.03907216494845361,0.05144329896907217
42,38800,3.269594303982817e+145,3.30337524937766e+151,1.5242584925429693e+143,3.292105496886927e+150,0.0,0.3032,4.19634743329318e+147,1.3287379640688592e+148,2.736295505384206e+149,5.449502047196888e+150,1.0615715913338487e+151,0.0009278350515463917,0.0011082474226804123,0.0015721649484536082,0.002061855670103093
43,38800,1.3648212769164233e+146,3.4012854031741677e+151,1.089454005214602e+144,1.575002908846833e+150,0.0,0.14182,2.5255925192585898e+147,6.860275298369949e+147,1.958045812170467e+148,7.125770309820896e+149,6.2530063578205396e+150,0.005231958762886598,0.005644329896907217,0.007963917525773197,0.010747422680412372
44,38800,2.9709997829483707e+145,3.689571954015478e+151,1.3752696732033086e+144,3.984048458775776e+150,0.0,0.33638,4.57180703315534e+147,1.695280081032465e+148,1.7145424256934113e+150,6.578422341916671e+150,1.1626998560685041e+151,0.0006958762886597938,0.0007474226804123712,0.0011082474226804123,0.0013144329896907217
45,38800,4.841119435299087e+146,3.7418073639225e+151,5.5341328456570675e+143,3.6418321727713674e+149,0.0,0.03048,2.6982358631273524e+147,7.286145265378804e+147,1.8081983525794193e+148,3.83037545363017e+148,7.857456808057417e+148,0.017680412371134022,0.019149484536082475,0.026108247422680413,0.034175257731958765
46,38800,1.5276793375930382e+146,4.13953031070483e+151,9.184170793398509e+143,2.5245126446514817e+150,0.0,0.20536,3.331711787197341e+147,9.549078274150902e+147,2.988700481422731e+148,3.056529214205825e+150,9.662590950846826e+150,0.004407216494845361,0.0047680412371134025,0.006649484536082474,0.009278350515463918
47,38800,2.1567245030525454e+145,4.0929546030518873e+151,6.2835951201236175e+143,8.688439841653195e+149,0.0,0.07008,3.743772192736238e+147,1.0312797420616505e+148,2.682806381268621e+148,6.5085633999174e+148,1.1025101747949916e+150,0.0006701030927835052,0.0006958762886597938,0.0009020618556701031,0.0010567010309278351
48,38800,2.58480649467767e+146,4.2304700967498756e+151,5.698055280240573e+143,6.6063308708476e+150,0.0,0.47458,1.595180592648872e+148,1.0814235294226899e+150,5.1241892053196666e+150,1.0347671778593252e+151,1.569381501739613e+151,0.002474226804123711,0.0026804123711340207,0.003711340206185567,0.004922680412371134
49,38800,3.9943593435108627e+146,4.3730468642384573e+151,9.001084862214546e+144,7.777937330822253e+150,0.0,0.53264,4.423333421434925e+149,2.492694072916127e+150,6.415241623554021e+150,1.171820548844577e+151,1.6995277734267354e+151,0.0012371134020618556,0.0013402061855670104,0.0018556701030927835,0.002422680412371134
50,38800,1.8790314860163577e+146,4.665768601728278e+151,2.8241913811546686e+143,6.784020946632133e+150,0.0,0.45772,2.137236827148684e+148,1.016130330162691e+150,4.9455168712271875e+150,1.0688446491145261e+151,1.6498086599598443e+151,0.0013917525773195875,0.0014948453608247423,0.0020876288659793813,0.0026804123711340207
