metric,value
valid_outputs,38800
min_mc_norm,1.3648212769164233e+146
max_mc_norm,3.4012854031741677e+151
best_cim_norm,1.089454005214602e+144
mean_cim_norm,1.575002908846833e+150
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.14182
quantile_10percent,2.5255925192585898e+147
quantile_25percent,6.860275298369949e+147
quantile_50percent,1.958045812170467e+148
quantile_75percent,7.125770309820896e+149
quantile_90percent,6.2530063578205396e+150
within_1.0x_min_mc,0.005231958762886598
within_1.1x_min_mc,0.005644329896907217
within_1.5x_min_mc,0.007963917525773197
within_2.0x_min_mc,0.010747422680412372
max_abs_scale_for_G,5.0547718077139635e+300
sim_time_sec,2921.8645708560944
