metric,value
valid_outputs,38800
min_mc_norm,1.266574286291182e+146
max_mc_norm,2.8774994262379126e+151
best_cim_norm,7.110324798899122e+144
mean_cim_norm,4.042204546809458e+150
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.4499
quantile_10percent,1.0341849220450385e+148
quantile_25percent,1.9346429615560954e+149
quantile_50percent,2.8978672329034938e+150
quantile_75percent,6.5418368150921825e+150
quantile_90percent,1.012042511812138e+151
within_1.0x_min_mc,0.0016752577319587628
within_1.1x_min_mc,0.0018556701030927835
within_1.5x_min_mc,0.002422680412371134
within_2.0x_min_mc,0.003092783505154639
max_abs_scale_for_G,3.2730016207706936e+300
sim_time_sec,2083.3095400333405
